finding_id,meteorite_id,findings,discovery_year
217,219,Trace rare earth elements,1991
218,220,Crystalline texture observed,1991
219,221,Magnetic properties observed,1991
220,222,Low density,1991
221,223,Low carbon content,1991
222,224,Unique mineral structure,1991
223,225,High chromium content,1991
224,226,Magnetic properties observed,1991
225,227,Anomalous oxygen isotope ratio,1991
226,228,High iron content,1991
227,229,Abundant olivine crystals,1991
228,230,Low density,1991
229,231,Porous texture noted,1991
230,232,Unique mineral structure,1991
231,233,Rare isotopes detected,1991
232,234,Unusual chemical makeup,1991
233,235,High chromium content,1991
234,236,Unique mineral structure,1991
235,237,Low carbon content,1991
236,238,Unique mineral structure,1991
237,239,High chromium content,1991
238,240,Anomalous silicon content,1991
239,241,High metal content,1991
240,242,Elevated manganese levels,1991
241,243,High chromium content,1991
242,244,Porous texture noted,1991
243,245,Trace platinum group metals,1991
244,246,Unusual chemical makeup,1991
245,247,Significant sulfur levels,1991
246,248,Significant phosphorous levels,1991
247,249,Anomalous oxygen isotope ratio,1991
248,250,Unique mineral structure,1991
249,252,Low density,1991
250,253,High iron content,1991
251,254,Unique mineral structure,1991
252,255,Unique mineral structure,1991
253,256,Trace platinum group metals,1991
254,257,High magnesium content,1991
255,258,Crystalline texture observed,1991
256,259,High magnesium content,1991
257,260,Significant sulfur levels,1991
258,261,Shock-metamorphosed structure,1991
259,262,Trace platinum group metals,1991
260,263,High metal content,1991
261,264,Significant phosphorous levels,1991
262,265,Significant sulfur levels,1991
263,266,Presence of organic compounds,1991
264,267,Crystalline texture observed,1991
265,268,Significant phosphorous levels,1991
266,269,High iron content,1991
267,270,Significant phosphorous levels,1991
268,271,Carbonaceous composition,1991
269,272,Rare isotopes detected,1991
270,273,Trace platinum group metals,1991
271,274,Crystalline texture observed,1991
272,275,Significant phosphorous levels,1991
273,276,Magnetic properties observed,1991
274,277,Trace platinum group metals,1991
275,278,Significant sulfur levels,1991
276,279,Low density,1991
277,280,Significant sulfur levels,1991
278,281,Significant sulfur levels,1991
279,282,Anomalous oxygen isotope ratio,1991
280,283,Significant phosphorous levels,1991
281,284,Nickel traces found,1991
282,285,Anomalous oxygen isotope ratio,1991
283,286,Abundant olivine crystals,1991
284,287,Unique mineral structure,1991
285,288,Magnetic properties observed,1991
286,289,Unusual chemical makeup,1991
287,290,High metal content,1991
288,291,Exotic mineral inclusions,1991
289,292,Magnetic properties observed,1991
290,293,Magnetic properties observed,1991
291,294,High metal content,1991
292,295,Magnetic properties observed,1992
293,296,Rare isotopes detected,1992
294,297,Trace rare earth elements,1992
295,298,Iron-nickel alloy composition,1992
296,299,Low volatile compounds,1992
297,300,Anomalous silicon content,1992
298,301,Low carbon content,1992
299,302,Presence of organic compounds,1992
300,303,Anomalous oxygen isotope ratio,1992
301,304,Unusual chemical makeup,1992
302,305,Low density,1992
303,306,High titanium concentration,1992
304,307,Iron-nickel alloy composition,1992
305,308,High chromium content,1992
306,309,High magnesium content,1992
307,310,Porous texture noted,1992
308,311,Carbonaceous composition,1992
309,312,Elevated cobalt levels,1992
310,313,Significant sulfur levels,1992
311,314,Silicate rich,1992
312,315,Low density,1992
313,316,High chromium content,1992
314,317,Trace rare earth elements,1992
315,318,Significant phosphorous levels,1992
316,319,Silicate rich,1992
317,320,Low volatile compounds,1992
318,321,High chromium content,1992
319,322,High iron content,1992
320,323,Nickel traces found,1992
321,324,High metal content,1992
322,325,Anomalous oxygen isotope ratio,1992
323,326,Magnetic properties observed,1992
324,327,High titanium concentration,1992
325,328,Elevated cobalt levels,1992
326,329,Unusual chemical makeup,2001
327,330,Anomalous oxygen isotope ratio,2001
328,331,Trace platinum group metals,2001
329,332,Magnetic properties observed,1989
330,333,Low carbon content,1989
331,334,Trace rare earth elements,2001
332,335,Low volatile compounds,2001
333,336,Presence of organic compounds,2001
334,337,Rare isotopes detected,2001
335,338,Presence of organic compounds,2001
336,339,Trace platinum group metals,2001
337,340,Nickel traces found,2001
338,341,Evidence of partial melting,2002
339,342,High titanium concentration,2002
340,343,Iron-nickel alloy composition,2002
341,344,High magnesium content,2002
342,345,High magnesium content,2002
343,346,Shock-metamorphosed structure,2002
344,347,Trace platinum group metals,2002
345,348,Shock-metamorphosed structure,2002
346,349,Trace platinum group metals,2002
347,350,Presence of water-bearing minerals,2002
348,351,Rare isotopes detected,2002
349,352,Evidence of partial melting,2002
350,353,Porous texture noted,2001
351,354,Trace platinum group metals,2001
352,355,Nickel traces found,2001
353,356,Shock-metamorphosed structure,2001
354,357,Anomalous oxygen isotope ratio,2001
355,358,Magnetic properties observed,2001
356,359,Low density,2001
357,360,Anomalous silicon content,2001
358,361,Carbonaceous composition,2002
359,362,Elevated manganese levels,2002
360,363,Low carbon content,2001
361,364,Porous texture noted,2002
362,365,High titanium concentration,2002
363,366,Anomalous silicon content,2002
364,367,High chromium content,2002
365,368,High iron content,2002
366,369,High magnesium content,1924
367,370,Elevated manganese levels,1902
368,371,High metal content,1947
369,372,Rare isotopes detected,1962
370,373,Iron-nickel alloy composition,1981
371,374,Porous texture noted,1883
372,375,Anomalous silicon content,1928
373,376,High magnesium content,1961
374,378,High titanium concentration,1912
375,379,Significant sulfur levels,1919
376,380,Rare isotopes detected,1881
377,381,Rare isotopes detected,1990
378,382,High magnesium content,1990
379,383,Low carbon content,1990
380,384,Trace rare earth elements,2001
381,385,Presence of organic compounds,1997
382,386,Evidence of partial melting,2002
383,387,High metal content,2002
384,388,Presence of organic compounds,1936
385,389,High magnesium content,1952
386,390,Silicate rich,1949
387,392,Anomalous oxygen isotope ratio,1814
388,393,Nickel traces found,1942
389,395,Anomalous silicon content,2000
390,397,High iron content,1938
391,398,Presence of organic compounds,1930
392,399,Anomalous oxygen isotope ratio,1971
393,400,Significant sulfur levels,1990
394,401,Shock-metamorphosed structure,1990
395,402,Elevated cobalt levels,1990
396,403,Nickel traces found,1990
397,404,Abundant olivine crystals,1991
398,405,High metal content,1992
399,406,Unique mineral structure,1992
400,407,Anomalous silicon content,1992
401,408,Exotic mineral inclusions,1992
402,409,Elevated manganese levels,1993
403,410,Abundant olivine crystals,1993
404,411,High titanium concentration,1993
405,412,Low volatile compounds,1993
406,413,Anomalous oxygen isotope ratio,1993
407,414,High titanium concentration,1993
408,415,Significant phosphorous levels,1993
409,416,Nickel traces found,2001
410,417,Abundant olivine crystals,1920
411,419,Low volatile compounds,1909
412,421,Abundant olivine crystals,1936
413,422,Trace platinum group metals,1907
414,423,Elevated manganese levels,1974
415,424,Presence of organic compounds,1925
416,426,High magnesium content,1949
417,427,Presence of organic compounds,1838
418,428,Evidence of partial melting,1968
419,429,Abundant olivine crystals,1988
420,430,Anomalous oxygen isotope ratio,1940
421,431,Low carbon content,1961
422,432,Magnetic properties observed,1959
423,433,High chromium content,1981
424,434,Porous texture noted,2000
425,435,Presence of water-bearing minerals,2000
426,436,Low volatile compounds,2002
427,437,High iron content,2002
428,438,Nickel traces found,2002
429,439,Carbonaceous composition,2002
430,440,Significant sulfur levels,2002
431,441,Rare isotopes detected,2002
432,442,Carbonaceous composition,2002
433,443,Unique mineral structure,2002
434,444,Presence of organic compounds,2002
435,445,Unusual chemical makeup,2003
436,446,Iron-nickel alloy composition,1957
437,447,Nickel traces found,2001
438,448,Presence of water-bearing minerals,1806
439,449,Silicate rich,1938
440,450,High iron content,1937
441,452,Unusual chemical makeup,1959
442,453,Anomalous oxygen isotope ratio,1766
443,454,Elevated cobalt levels,1949
444,455,High titanium concentration,1915
445,456,Exotic mineral inclusions,1949
446,457,Anomalous silicon content,1966
447,458,High magnesium content,2002
448,459,Elevated cobalt levels,1985
449,460,High chromium content,1996
450,461,Anomalous oxygen isotope ratio,1835
451,462,High titanium concentration,1873
452,463,Presence of water-bearing minerals,1860
453,464,Silicate rich,1875
454,465,Nickel traces found,1900
455,466,Unusual chemical makeup,1883
456,467,Trace rare earth elements,1959
457,468,Trace rare earth elements,1960
458,469,High metal content,1960
459,470,Shock-metamorphosed structure,1887
460,471,Trace platinum group metals,1931
461,472,Low carbon content,1977
462,473,High titanium concentration,1955
463,474,High titanium concentration,1998
464,475,Silicate rich,1973
465,476,Elevated cobalt levels,1982
466,477,High metal content,1982
467,478,Anomalous silicon content,1982
468,479,Exotic mineral inclusions,1982
469,480,Low volatile compounds,1982
470,481,High titanium concentration,1982
471,482,Elevated cobalt levels,1982
472,483,Silicate rich,1982
473,484,Porous texture noted,1982
474,485,Significant phosphorous levels,1982
475,486,High metal content,1982
476,487,Elevated manganese levels,1982
477,488,Unique mineral structure,1982
478,489,Low density,1982
479,490,Porous texture noted,1982
480,491,Anomalous oxygen isotope ratio,1982
481,492,Shock-metamorphosed structure,1982
482,493,Abundant olivine crystals,1982
483,494,Carbonaceous composition,1982
484,495,Anomalous oxygen isotope ratio,1982
485,496,Elevated cobalt levels,1982
486,497,High titanium concentration,1982
487,498,Elevated cobalt levels,1982
488,499,Presence of organic compounds,1982
489,500,Elevated manganese levels,1982
490,501,Low density,1982
491,502,Low carbon content,1982
492,503,Silicate rich,1982
493,504,Evidence of partial melting,1982
494,505,High metal content,1982
495,506,Anomalous oxygen isotope ratio,1982
496,507,Low carbon content,1982
497,508,Anomalous silicon content,1982
498,509,Low carbon content,1982
499,510,Shock-metamorphosed structure,1982
500,511,Crystalline texture observed,1982
501,512,Porous texture noted,1982
502,513,Elevated cobalt levels,1982
503,514,Abundant olivine crystals,1982
504,515,Rare isotopes detected,1982
505,516,Low density,1982
506,517,Porous texture noted,1982
507,518,High iron content,1982
508,519,Low volatile compounds,1982
509,520,Elevated manganese levels,1982
510,521,Low density,1983
511,522,Evidence of partial melting,1983
512,523,Nickel traces found,1983
513,524,Iron-nickel alloy composition,1983
514,525,Trace platinum group metals,1983
515,526,High metal content,1983
516,527,High iron content,1983
517,528,Abundant olivine crystals,1983
518,529,Rare isotopes detected,1983
519,530,Unique mineral structure,1983
520,531,Anomalous silicon content,1983
521,532,Anomalous silicon content,1983
522,533,Rare isotopes detected,1983
523,534,Trace rare earth elements,1983
524,535,Nickel traces found,1983
525,536,Shock-metamorphosed structure,1983
526,537,Crystalline texture observed,1983
527,538,Shock-metamorphosed structure,1983
528,539,Abundant olivine crystals,1983
529,540,High titanium concentration,1983
530,541,Abundant olivine crystals,1983
531,542,Shock-metamorphosed structure,1983
532,543,High iron content,1983
533,544,Abundant olivine crystals,1983
534,545,High metal content,1983
535,546,Anomalous oxygen isotope ratio,1983
536,547,Carbonaceous composition,1983
537,548,Evidence of partial melting,1983
538,549,Significant sulfur levels,1983
539,550,Crystalline texture observed,1983
540,551,High chromium content,1983
541,552,Trace rare earth elements,1983
542,553,Carbonaceous composition,1983
543,554,Elevated cobalt levels,1983
544,555,Elevated cobalt levels,1983
545,556,Low carbon content,1983
546,557,Crystalline texture observed,1983
547,558,High iron content,1983
548,559,Significant sulfur levels,1983
549,560,Magnetic properties observed,1983
550,561,Significant phosphorous levels,1983
551,562,Magnetic properties observed,1983
552,563,Presence of water-bearing minerals,1983
553,564,Presence of organic compounds,1983
554,565,High chromium content,1983
555,566,Iron-nickel alloy composition,1983
556,567,Unusual chemical makeup,1983
557,568,High magnesium content,1983
558,569,High chromium content,1983
559,570,Low volatile compounds,1983
560,571,Presence of organic compounds,1983
561,572,Exotic mineral inclusions,1983
562,573,Unusual chemical makeup,1983
563,574,Abundant olivine crystals,1983
564,575,Anomalous oxygen isotope ratio,1983
565,576,High titanium concentration,1983
566,577,Elevated manganese levels,1983
567,578,Porous texture noted,1983
568,579,Exotic mineral inclusions,1983
569,580,Presence of water-bearing minerals,1983
570,581,Nickel traces found,1983
571,582,Magnetic properties observed,1983
572,583,Anomalous silicon content,1983
573,584,Trace rare earth elements,1983
574,585,Low carbon content,1983
575,586,Nickel traces found,1983
576,587,Evidence of partial melting,1983
577,588,Elevated cobalt levels,1983
578,589,Abundant olivine crystals,1983
579,590,Exotic mineral inclusions,1983
580,591,Unusual chemical makeup,1983
581,592,Anomalous silicon content,1983
582,593,Low volatile compounds,1983
583,594,Unusual chemical makeup,1983
584,595,Carbonaceous composition,1983
585,596,High magnesium content,1983
586,597,Porous texture noted,1983
587,598,Shock-metamorphosed structure,1983
588,599,Significant phosphorous levels,1983
589,600,Elevated cobalt levels,1983
590,601,Low volatile compounds,1983
591,602,Presence of organic compounds,1983
592,603,Low density,1983
593,604,Nickel traces found,1984
594,605,Abundant olivine crystals,1984
595,606,High iron content,1984
596,607,Trace platinum group metals,1984
597,608,Significant phosphorous levels,1984
598,609,Nickel traces found,1984
599,610,High chromium content,1984
600,611,High iron content,1984
601,612,Silicate rich,1984
602,613,High titanium concentration,1984
603,614,High magnesium content,1984
604,615,Exotic mineral inclusions,1984
605,616,Low carbon content,1984
606,617,Anomalous oxygen isotope ratio,1984
607,618,Carbonaceous composition,1984
608,619,Shock-metamorphosed structure,1984
609,620,Exotic mineral inclusions,1984
610,621,Unique mineral structure,1984
611,622,Porous texture noted,1984
612,623,Anomalous silicon content,1984
613,624,Magnetic properties observed,1984
614,625,Trace platinum group metals,1984
615,626,Silicate rich,1984
616,627,Trace rare earth elements,1984
617,628,Porous texture noted,1984
618,629,High magnesium content,1984
619,630,Low density,1984
620,631,Significant sulfur levels,1984
621,632,Abundant olivine crystals,1984
622,633,Elevated cobalt levels,1984
623,634,Abundant olivine crystals,1984
624,635,High magnesium content,1984
625,636,High magnesium content,1984
626,637,High magnesium content,1984
627,638,Evidence of partial melting,1984
628,639,High chromium content,1984
629,640,High magnesium content,1984
630,641,Exotic mineral inclusions,1984
631,642,High iron content,1984
632,643,Low volatile compounds,1984
633,644,Elevated cobalt levels,1984
634,645,Significant sulfur levels,1984
635,646,Anomalous silicon content,1984
636,647,High chromium content,1984
637,648,Rare isotopes detected,1984
638,649,Carbonaceous composition,1984
639,650,Crystalline texture observed,1984
640,651,Low density,1984
641,652,Porous texture noted,1984
642,653,Low density,1984
643,654,Abundant olivine crystals,1984
644,655,Trace platinum group metals,1984
645,656,Shock-metamorphosed structure,1984
646,657,High magnesium content,1984
647,658,Presence of water-bearing minerals,1984
648,659,Trace rare earth elements,1984
649,660,High chromium content,1984
650,661,Anomalous silicon content,1984
651,662,High iron content,1984
652,663,Elevated cobalt levels,1984
653,664,Iron-nickel alloy composition,1984
654,665,High metal content,1984
655,666,Anomalous silicon content,1984
656,667,Trace rare earth elements,1984
657,668,Low density,1984
658,669,Rare isotopes detected,1984
659,670,Significant sulfur levels,1984
660,671,Low volatile compounds,1984
661,672,Significant sulfur levels,1984
662,673,Unique mineral structure,1984
663,674,Elevated manganese levels,1984
664,675,Exotic mineral inclusions,1984
665,676,Anomalous silicon content,1984
666,677,Low volatile compounds,1984
667,678,Carbonaceous composition,1984
668,679,Unique mineral structure,1984
669,680,Presence of organic compounds,1984
670,681,Carbonaceous composition,1984
671,682,Evidence of partial melting,1984
672,683,Unique mineral structure,1984
673,684,Trace platinum group metals,1984
674,685,Carbonaceous composition,1984
675,686,Magnetic properties observed,1984
676,687,Iron-nickel alloy composition,1984
677,688,Silicate rich,1984
678,689,Presence of water-bearing minerals,1984
679,690,Presence of water-bearing minerals,1984
680,691,Unique mineral structure,1984
681,692,Anomalous silicon content,1984
682,693,Anomalous oxygen isotope ratio,1984
683,694,Presence of organic compounds,1984
684,695,Abundant olivine crystals,1984
685,696,Low density,1984
686,697,Nickel traces found,1984
687,698,Anomalous oxygen isotope ratio,1984
688,699,Significant sulfur levels,1984
689,700,Iron-nickel alloy composition,1984
690,701,High chromium content,1984
691,702,Elevated manganese levels,1984
692,703,Low carbon content,1984
693,704,Carbonaceous composition,1984
694,705,Anomalous silicon content,1984
695,706,Anomalous silicon content,1984
696,707,Presence of water-bearing minerals,1984
697,708,High magnesium content,1984
698,709,Significant phosphorous levels,1984
699,710,High metal content,1984
700,711,Porous texture noted,1984
701,712,Abundant olivine crystals,1984
702,713,Presence of water-bearing minerals,1984
703,714,Magnetic properties observed,1984
704,715,Unique mineral structure,1984
705,716,Evidence of partial melting,1984
706,717,Low density,1984
707,718,Silicate rich,1984
708,719,Abundant olivine crystals,1984
709,720,Silicate rich,1984
710,721,Evidence of partial melting,1984
711,722,High iron content,1984
712,723,Trace platinum group metals,1984
713,724,Exotic mineral inclusions,1984
714,725,Exotic mineral inclusions,1984
715,726,High magnesium content,1984
716,727,High metal content,1984
717,728,Presence of organic compounds,1984
718,729,High titanium concentration,1984
719,730,Low density,1984
720,731,Elevated manganese levels,1984
721,732,Anomalous oxygen isotope ratio,1984
722,733,Anomalous oxygen isotope ratio,1984
723,734,High titanium concentration,1984
724,735,Shock-metamorphosed structure,1984
725,736,Evidence of partial melting,1984
726,737,Crystalline texture observed,1984
727,738,Low density,1984
728,739,Low density,1984
729,740,Shock-metamorphosed structure,1984
730,741,Silicate rich,1984
731,742,Shock-metamorphosed structure,1984
732,743,Unique mineral structure,1984
733,744,High titanium concentration,1984
734,745,Evidence of partial melting,1984
735,746,High magnesium content,1984
736,747,High iron content,1984
737,748,Presence of water-bearing minerals,1984
738,749,High iron content,1984
739,750,Rare isotopes detected,1984
740,751,Anomalous silicon content,1984
741,752,Anomalous silicon content,1984
742,753,Magnetic properties observed,1984
743,754,Presence of organic compounds,1984
744,755,High titanium concentration,1984
745,756,Carbonaceous composition,1984
746,757,High titanium concentration,1984
747,758,Evidence of partial melting,1984
748,759,Iron-nickel alloy composition,1984
749,760,High iron content,1984
750,761,Unique mineral structure,1984
751,762,Presence of water-bearing minerals,1984
752,763,Trace platinum group metals,1984
753,764,High metal content,1984
754,765,Low volatile compounds,1984
755,766,Carbonaceous composition,1984
756,767,Presence of water-bearing minerals,1984
757,768,Low density,1984
758,769,Crystalline texture observed,1984
759,770,Presence of water-bearing minerals,1984
760,771,Carbonaceous composition,1984
761,772,Exotic mineral inclusions,1984
762,773,Presence of organic compounds,1984
763,774,Significant phosphorous levels,1984
764,775,Significant phosphorous levels,1984
765,776,High magnesium content,1984
766,777,Trace rare earth elements,1984
767,778,Silicate rich,1984
768,779,High titanium concentration,1984
769,780,Shock-metamorphosed structure,1984
770,781,Nickel traces found,1984
771,782,Trace rare earth elements,1984
772,783,Presence of water-bearing minerals,1984
773,784,Nickel traces found,1984
774,785,Presence of water-bearing minerals,1984
775,786,Trace platinum group metals,1984
776,787,Anomalous silicon content,1984
777,788,Trace platinum group metals,1984
778,789,High iron content,1984
779,790,Low volatile compounds,1984
780,791,High iron content,1984
781,792,Porous texture noted,1984
782,793,High metal content,1984
783,794,High chromium content,1984
784,795,Anomalous oxygen isotope ratio,1984
785,796,Shock-metamorphosed structure,1984
786,797,Shock-metamorphosed structure,1984
787,798,Porous texture noted,1984
788,799,Crystalline texture observed,1984
789,800,Presence of water-bearing minerals,1984
790,801,Silicate rich,1984
791,802,Elevated cobalt levels,1984
792,803,Elevated cobalt levels,1984
793,804,Low volatile compounds,1984
794,805,Presence of water-bearing minerals,1984
795,806,Crystalline texture observed,1984
796,807,High titanium concentration,1984
797,808,Iron-nickel alloy composition,1984
798,809,Anomalous silicon content,1984
799,810,Unique mineral structure,1984
800,811,Anomalous silicon content,1984
801,812,Carbonaceous composition,1984
802,813,Unique mineral structure,1984
803,814,Exotic mineral inclusions,1984
804,815,Anomalous oxygen isotope ratio,1984
805,816,Magnetic properties observed,1984
806,817,Shock-metamorphosed structure,1984
807,818,High metal content,1984
808,819,Carbonaceous composition,1984
809,820,Unusual chemical makeup,1984
810,821,Presence of water-bearing minerals,1984
811,822,High metal content,1984
812,823,Evidence of partial melting,1984
813,824,Trace platinum group metals,1984
814,825,Trace rare earth elements,1984
815,826,Abundant olivine crystals,1984
816,827,Abundant olivine crystals,1984
817,828,High metal content,1984
818,829,Nickel traces found,1984
819,830,Trace rare earth elements,1984
820,831,Evidence of partial melting,1984
821,832,Carbonaceous composition,1984
822,833,Unusual chemical makeup,1984
823,834,Presence of water-bearing minerals,1984
824,835,Nickel traces found,1984
825,836,Trace platinum group metals,1984
826,837,Silicate rich,1984
827,838,Magnetic properties observed,1984
828,839,Exotic mineral inclusions,1984
829,840,High iron content,1984
830,841,High iron content,1984
831,842,High metal content,1984
832,843,Presence of water-bearing minerals,1984
833,844,Rare isotopes detected,1984
834,845,Low density,1984
835,846,Low density,1984
836,847,Significant sulfur levels,1984
837,848,High metal content,1984
838,849,Low carbon content,1984
839,850,Significant sulfur levels,1984
840,851,Presence of organic compounds,1984
841,852,Low density,1984
842,853,High titanium concentration,1984
843,854,Porous texture noted,1984
844,855,High iron content,1984
845,856,Trace rare earth elements,1984
846,857,High magnesium content,1984
847,858,Exotic mineral inclusions,1984
848,859,Crystalline texture observed,1984
849,860,Trace platinum group metals,1984
850,861,High iron content,1984
