study_id,meteorite_id,scientist_id,study_date
394,19423,20579,2015-11-11
395,23935,16256,2018-02-19
396,24575,33239,2004-12-31
397,30709,5618,2015-04-20
398,31357,11867,2020-01-29
399,29572,21383,2019-01-21
400,22184,35124,2001-03-13
401,18562,6172,2009-04-15
402,26401,21225,2011-10-24
403,15527,16384,2004-08-03
404,29232,34791,2017-05-31
405,23496,35465,2002-02-08
406,38458,421,2025-12-27
407,7361,9936,2025-02-05
408,8990,14259,2007-09-06
409,46654,28979,2011-05-23
410,40183,3430,2002-03-31
411,29826,21864,2003-10-22
412,28624,19969,2012-11-19
413,56557,31608,2015-08-30
414,13524,11511,2016-02-23
415,52339,24316,2014-09-14
416,53028,7965,2019-02-26
417,51372,18479,2009-02-22
418,48230,24727,2019-05-02
419,16230,21280,2004-12-12
420,9258,27321,2021-06-04
421,1252,2612,2022-01-17
422,28889,33800,2023-10-25
423,8375,33074,2018-03-02
424,22752,26877,2019-02-25
425,11303,13199,2004-05-06
426,21424,1255,2024-07-28
427,2534,34863,2015-01-15
428,4559,19373,2020-07-14
429,25592,13229,2000-11-25
430,6188,25513,2020-05-05
431,12407,19780,2022-03-27
432,19628,24192,2007-04-09
433,6950,2223,2025-02-27
434,142,9218,2020-09-19
435,6009,7852,2010-03-22
436,52531,6909,2023-11-03
437,14090,1274,2019-07-13
438,45564,8123,2009-03-08
439,49983,3104,2020-03-09
440,18216,10569,2002-04-07
441,3988,30715,2019-10-09
442,54252,22783,2021-04-15
443,56148,36672,2021-10-08
444,8445,5677,2004-02-15
445,24897,24463,2006-04-27
446,33918,18067,2013-03-29
447,26917,18655,2022-12-09
448,9991,14080,2020-09-10
449,53445,3904,2024-12-16
450,13015,19908,2010-07-06
451,25391,14318,2021-11-23
452,12347,14919,2009-05-05
453,29832,6460,2020-03-21
454,15557,11950,2011-10-18
455,53913,24629,2009-09-03
456,8576,37758,2019-01-25
457,23932,253,2009-10-22
458,16694,6775,2007-06-02
459,11971,26974,2013-06-07
460,51255,9316,2011-04-06
461,10024,27383,2018-07-14
462,23725,10787,2016-05-29
463,2259,27562,2022-04-18
464,20901,27281,2008-07-28
465,20230,20982,2009-12-24
466,21656,36582,2018-08-06
467,4096,7924,2013-03-10
468,48969,8767,2020-03-19
469,56105,17534,2008-02-18
470,814,33037,2023-10-27
471,23952,22382,2010-07-06
472,15812,5833,2002-07-17
473,14693,4034,2019-02-14
474,54480,12930,2012-10-23
475,24609,5198,2017-12-01
476,2255,30521,2019-05-11
477,21543,24034,2016-02-18
478,28127,20269,2007-04-23
479,51245,37878,2014-04-01
480,4183,29800,2007-07-02
481,13214,1760,2011-08-21
482,26164,33360,2009-08-14
483,367,14086,2006-07-30
484,54228,19315,2004-05-25
485,23957,28350,2025-06-25
486,19092,21254,2011-06-22
487,11016,14520,2021-07-23
488,22290,20556,2010-11-23
489,8674,4758,2013-12-15
490,48107,18011,2004-07-26
491,1930,6153,2009-09-16
492,25661,3423,2025-05-03
493,15967,13046,2008-06-13
494,29924,25230,2004-11-14
495,1341,23532,2019-03-13
496,52993,31344,2000-12-11
497,22437,4710,2002-04-13
498,1572,4454,2007-07-20
499,2512,13778,2002-05-05
500,16341,19718,2004-08-09
501,55395,1394,2003-02-05
502,55855,33104,2014-09-18
503,9432,33770,2015-03-07
504,1684,12157,2017-12-08
505,29841,28337,2008-05-06
506,46616,20294,2001-08-07
507,7400,10104,2025-02-22
508,2616,4831,2024-07-23
509,21148,24685,2011-12-27
510,1369,20589,2012-11-05
511,23849,15511,2015-02-01
512,49555,36015,2015-09-08
513,16551,15169,2010-10-10
514,55715,13316,2015-09-12
515,24126,10846,2002-05-28
516,13298,9236,2008-12-27
517,7699,33381,2023-06-13
518,3551,30384,2005-10-20
519,23399,19368,2010-03-12
520,29607,5518,2011-01-18
521,15410,9563,2007-12-01
522,20986,12628,2006-10-14
523,19624,15848,2010-01-09
524,4746,11335,2021-03-13
525,6471,35150,2008-08-15
526,14230,18054,2017-04-07
527,53166,20468,2002-03-16
528,11892,21276,2017-10-18
529,14007,34594,2012-07-22
530,55151,27432,2014-08-27
531,52144,17605,2017-09-02
532,14299,35391,2003-08-09
533,27222,15712,2020-04-14
534,14384,9808,2012-02-24
535,6080,37844,2003-07-19
536,12978,28138,2023-03-19
537,55124,2027,2002-11-20
538,47740,17501,2010-07-02
539,21653,844,2000-02-26
540,9145,4395,2025-03-06
541,49798,37254,2006-03-01
542,52243,35580,2025-04-28
543,19710,7805,2010-07-12
544,26782,32406,2011-02-03
545,55740,25542,2018-01-18
546,39245,18448,2011-06-26
547,22646,13114,2008-12-30
548,27173,12254,2025-11-15
549,36587,16803,2002-09-26
550,7734,22374,2018-05-29
551,47811,25218,2018-07-11
552,19402,15856,2010-06-21
553,10172,5120,2021-10-23
554,56202,11201,2007-03-18
555,3326,34199,2019-11-23
556,25167,17693,2020-07-04
557,24851,24444,2004-09-28
558,23733,1200,2007-05-13
559,37959,32382,2024-08-23
560,55744,37825,2010-02-03
561,25096,13122,2004-12-03
562,27101,32817,2003-07-14
563,26050,14149,2016-08-11
564,18769,21094,2014-06-21
565,7415,6540,2016-07-23
566,19197,29659,2001-09-30
567,52159,33359,2020-01-30
568,6323,22523,2016-07-23
569,23354,31312,2005-07-16
570,14214,22194,2008-02-22
571,4951,32374,2021-06-11
572,15668,1556,2025-01-03
573,29587,22325,2017-07-10
574,30914,27093,2012-08-03
575,23480,20362,2014-06-03
576,14692,20294,2006-08-16
577,49856,25619,2002-06-17
578,16011,32320,2011-06-03
579,20695,1453,2024-09-09
580,20673,27295,2013-09-10
581,25976,10824,2025-12-10
582,4946,3649,2011-03-29
583,21065,13876,2015-03-04
584,18172,35090,2017-12-18
585,40471,2289,2020-04-21
586,57369,37293,2013-07-20
587,4560,32184,2002-03-20
588,11418,31084,2013-04-05
589,48258,12677,2025-07-13
590,55032,37357,2022-12-19
591,28010,2122,2013-12-03
592,52310,14814,2020-11-03
593,2191,15819,2022-01-23
594,29875,34566,2025-08-27
595,27200,1569,2015-06-20
596,5320,33285,2023-02-23
597,14248,6196,2007-04-03
598,15611,13218,2012-06-01
599,10425,13609,2025-07-11
600,18493,36686,2005-09-09
601,850,18989,2013-12-02
602,26425,19838,2012-09-21
603,5279,35360,2014-07-09
604,733,22344,2022-09-21
605,29420,26211,2009-01-04
606,20961,27219,2024-07-03
607,40448,28668,2006-08-05
608,14372,29098,2001-03-02
609,11592,36400,2019-06-15
610,29580,32796,2012-04-10
611,30261,36918,2017-03-19
612,7430,2206,2009-10-04
613,56909,26610,2022-06-11
614,51121,35299,2021-10-27
615,20595,10386,2013-05-11
616,54269,7368,2023-02-08
617,2164,10854,2022-12-29
618,10273,21179,2014-12-06
619,49514,20241,2001-12-30
620,48599,25606,2012-04-28
621,51035,263,2018-06-08
622,18401,15164,2003-07-01
623,38698,30816,2015-01-09
624,51011,15586,2003-10-17
625,14451,12249,2016-11-07
626,20148,22596,2011-09-20
627,29294,14531,2015-05-05
628,55392,28202,2025-09-05
629,29951,12184,2008-06-10
630,20776,25517,2025-12-12
631,14383,26999,2014-04-15
632,53002,30191,2015-02-02
633,10811,17947,2023-12-12
634,46609,23077,2007-06-04
635,16682,4815,2000-07-12
636,9953,28194,2024-03-18
637,130,29629,2024-03-25
638,47228,32133,2006-11-29
639,50766,3743,2006-09-03
640,15304,21602,2011-09-19
641,26994,13565,2025-05-27
642,29901,26056,2014-10-21
643,11517,33956,2014-12-01
644,6017,22849,2019-05-02
645,48606,33792,2024-12-03
646,40127,6158,2008-05-03
647,5264,30818,2015-05-31
648,1163,6644,2023-09-04
649,24248,20483,2008-06-01
650,52372,21143,2011-06-11
651,14233,19924,2000-04-03
652,30455,6467,2017-08-27
653,19455,8858,2012-01-30
654,28639,18140,2004-06-01
655,9438,31614,2025-05-23
656,27085,14002,2006-09-14
657,54339,24841,2005-04-21
658,1084,12062,2009-02-23
659,9075,18880,2014-06-17
660,52620,33231,2013-03-20
661,25323,26897,2020-02-18
662,30464,21129,2013-08-22
663,30339,26910,2022-10-02
664,56684,25844,2022-05-27
665,16714,31589,2002-05-29
666,16870,14100,2019-05-20
667,51424,29501,2011-03-17
668,47904,30332,2014-05-24
669,2153,21626,2011-10-26
670,30537,23025,2025-10-04
671,20201,28386,2007-04-14
672,22725,7877,2006-07-13
673,20736,33693,2009-06-27
674,20190,24293,2013-09-24
675,26615,28048,2006-05-16
676,27922,7652,2002-08-27
677,3572,34627,2023-03-21
678,49595,26142,2016-03-24
679,24153,37383,2000-09-08
680,21790,33105,2025-12-28
681,185,24207,2020-08-24
682,20524,31371,2002-12-02
683,11641,16619,2000-02-28
684,11483,7940,2023-03-17
685,16490,21144,2019-04-14
686,56781,18454,2012-11-26
687,9611,19218,2010-07-24
688,27965,20653,2022-06-01
689,11387,22647,2006-07-02
690,55718,9411,2025-10-19
691,11369,33858,2009-06-16
692,20790,29334,2017-06-10
693,28605,23524,2023-05-24
694,7187,5506,2003-08-04
695,55168,24570,2008-05-27
696,11106,9217,2011-12-03
697,48954,6534,2024-02-12
698,28111,13417,2010-06-24
699,14359,17821,2025-07-18
700,10771,22791,2010-05-21
701,27151,25118,2018-02-27
702,29393,6982,2021-06-04
703,26281,37381,2013-08-28
704,53451,16853,2010-07-25
705,8521,21437,2001-06-16
706,11591,11455,2016-09-08
707,26265,29042,2025-11-02
708,7075,34678,2014-04-18
709,39105,28406,2016-05-12
710,56253,19002,2011-03-28
711,5016,17019,2013-02-09
712,15654,7489,2015-05-11
713,13277,4539,2015-03-25
714,24380,16081,2013-09-16
715,54087,11372,2002-03-18
716,26911,33461,2015-04-05
717,53996,17883,2002-07-13
718,55558,30114,2006-12-14
719,19563,29082,2009-01-23
720,15878,35551,2017-11-24
721,12097,32441,2023-04-30
722,14659,23912,2019-06-23
723,28062,26259,2018-05-31
724,12598,29076,2006-06-24
725,55490,10927,2001-07-29
726,53405,3596,2016-02-16
727,51695,7911,2006-07-18
728,9580,25360,2011-05-14
729,27239,4276,2005-04-04
730,46755,1027,2007-12-05
731,44884,30217,2014-06-15
732,25680,8990,2010-12-31
733,20128,4174,2003-06-21
734,26221,25034,2006-02-13
735,40052,20958,2005-07-14
736,8708,29985,2021-12-03
737,22441,37131,2009-05-24
738,29829,28809,2005-08-28
739,48657,705,2005-02-19
740,50234,28988,2000-07-13
741,55288,1227,2025-04-19
742,14475,33113,2002-08-26
743,15997,32304,2021-06-20
744,8289,21984,2004-09-04
745,20831,29833,2002-08-20
746,2499,10988,2016-04-13
747,6731,12850,2000-12-18
748,15772,1967,2004-09-26
749,29896,20640,2001-10-23
750,9858,28615,2015-12-30
751,16103,25061,2019-05-01
752,22398,33758,2002-10-10
753,25108,16978,2010-06-19
754,8311,5872,2009-01-31
755,21151,17370,2016-05-05
756,29591,17899,2013-10-09
757,6152,35351,2004-06-05
758,31303,36216,2023-05-07
759,9407,34245,2012-09-13
760,14630,1265,2006-02-01
761,18184,30848,2007-08-27
762,38754,1006,2020-01-06
763,2499,32325,2015-01-02
764,49586,34607,2012-11-17
765,20132,9499,2015-02-17
766,55083,9520,2002-09-14
767,18299,10593,2006-03-31
768,11209,359,2023-12-05
769,3430,33658,2022-07-09
770,19562,2540,2003-04-04
771,6446,31047,2017-10-05
772,9474,7304,2024-02-08
773,9584,29685,2006-04-17
774,50769,26797,2009-01-26
775,19110,11121,2002-05-09
776,29772,4998,2011-09-17
777,10703,29456,2014-12-25
778,20460,13534,2010-04-24
779,55881,20874,2023-08-23
780,6643,27830,2018-11-01
781,23758,23843,2020-09-05
782,20684,10143,2016-10-18
783,49504,6836,2015-12-21
784,16217,18749,2015-05-20
785,23256,2434,2018-04-28
786,10652,6782,2008-02-24
787,29360,13135,2007-11-11
788,57121,34322,2003-06-23
789,39634,20973,2004-03-04
790,55875,34619,2008-07-31
791,18238,6597,2020-02-18
792,1499,17568,2016-11-10
793,6836,11314,2025-05-06
794,22344,3628,2014-05-16
795,25220,2219,2018-12-05
796,5913,1,2004-10-16
797,16744,31530,2020-08-03
798,16934,6464,2022-07-08
799,52376,26658,2022-04-20
800,18990,15227,2023-08-19
801,48471,27292,2011-01-26
802,861,15597,2013-08-08
803,24193,16476,2000-11-23
804,19484,10016,2024-02-19
805,46660,23964,2014-03-07
806,8263,19716,2001-02-22
807,5962,25226,2015-04-23
808,25889,18394,2002-05-10
809,12003,2996,2016-03-19
810,8490,13907,2007-11-29
811,16436,5431,2005-07-28
812,53455,7836,2016-02-13
813,39792,3793,2014-12-29
814,25515,38046,2015-03-01
815,25166,32457,2009-08-02
816,37,7549,2003-03-29
817,31343,21510,2001-05-05
818,51261,477,2007-04-20
819,24949,37414,2004-07-27
820,48603,31260,2002-12-28
821,22519,2346,2007-05-29
822,55409,27395,2012-07-29
823,29464,20612,2002-07-19
824,23431,7688,2012-05-18
825,24518,31415,2005-05-28
826,49707,15865,2010-03-10
827,27000,8306,2008-08-18
828,7453,23180,2017-09-16
829,56240,27093,2017-03-20
830,45979,28845,2022-10-28
831,22530,36976,2012-02-26
832,53467,27886,2003-03-07
833,667,37333,2010-07-29
834,40323,29926,2021-05-08
835,55676,32002,2012-12-18
836,13289,3720,2019-02-28
837,5180,167,2021-08-15
838,12150,27477,2018-01-20
839,24554,13744,2002-11-01
840,20039,15128,2016-02-07
841,1621,28523,2022-05-09
842,54728,31818,2008-12-13
843,53313,18196,2003-04-04
844,2121,24892,2006-11-29
845,14661,19559,2001-06-14
846,9087,19011,2006-01-22
847,56834,35940,2002-12-21
848,27864,33115,2024-11-21
849,53776,27183,2000-04-27
850,28675,11298,2020-07-15
851,57,15427,2022-04-11
852,5738,37826,2023-07-21
853,40019,33056,2020-04-04
854,22666,33462,2023-10-21
855,56037,3064,2002-12-16
856,23470,14784,2024-05-09
857,46787,30462,2022-10-04
858,53464,852,2024-07-31
859,10278,22373,2004-10-03
860,23567,17919,2001-03-20
861,26908,16189,2016-01-17
862,11986,14767,2021-06-20
863,21404,27193,2019-07-11
864,53792,3629,2012-08-06
865,50371,14679,2016-08-09
866,38598,20421,2023-02-15
867,17030,15394,2024-10-30
868,11471,21896,2017-02-15
869,6007,6311,2004-02-26
870,28326,23066,2002-09-01
871,7320,34909,2001-12-21
872,23284,20355,2003-03-18
873,20661,16888,2001-02-14
874,20067,12716,2020-10-17
875,45535,4391,2012-09-28
876,23715,21061,2007-08-08
877,19922,35489,2001-10-24
878,32832,27713,2021-09-07
879,14935,25102,2024-11-26
880,10184,37711,2006-07-22
881,22370,5368,2012-05-25
882,3499,28489,2003-12-03
883,15713,13215,2013-01-17
884,24781,14999,2014-01-26
885,38998,23173,2021-11-04
886,10106,35454,2022-04-26
887,28669,34128,2023-11-07
888,967,13532,2007-12-15
889,26924,2867,2004-07-07
890,26640,9058,2022-12-29
891,574,13809,2018-03-02
892,28352,38009,2018-07-30
893,39398,15715,2012-10-30
894,25622,24645,2020-10-12
895,26976,5390,2008-06-02
896,16537,16489,2010-07-16
897,52409,3000,2016-09-12
898,13220,3152,2005-10-20
899,14193,16647,2000-10-22
900,53017,30893,2006-01-19
901,9088,14347,2022-09-13
902,16073,5279,2011-08-19
903,57055,35904,2010-04-30
904,51146,9379,2012-04-03
905,27259,26048,2013-09-26
906,3807,32600,2003-04-16
907,25964,3745,2008-10-31
908,55086,14609,2019-12-13
909,8907,4704,2012-01-09
910,30519,21059,2002-12-28
911,15861,28034,2016-11-30
912,29550,11427,2020-02-19
913,4881,32669,2002-09-20
914,30142,2147,2009-08-25
915,24559,30704,2010-02-26
916,40116,14753,2020-12-28
917,12003,17357,2012-04-06
918,19459,5885,2025-06-24
919,6513,27684,2012-09-18
920,49672,9445,2020-06-11
921,19523,11463,2023-11-17
922,1044,20555,2008-09-01
923,2435,10233,2019-11-30
924,51354,23775,2013-09-09
925,15568,9495,2006-02-16
926,18540,7985,2003-09-28
927,20528,20687,2025-06-23
928,15506,3870,2013-06-07
929,26354,9992,2019-12-23
930,6855,32735,2009-04-09
931,30063,31653,2006-07-31
932,2447,7325,2002-11-19
933,38895,35285,2010-06-22
