expedition_id,meteorite_id,scientist_id,expedition_date,notes
74,46771,303,1931-09-13,Deep cave exploration
75,10261,4127,1917-09-17,Underwater exploration
76,12701,30051,2004-10-07,Glacial core drilling
77,16237,12454,1992-04-27,Volcanic crater sampling
78,19578,12111,1971-02-25,Desert dune survey
79,39924,10811,1993-04-02,Volcanic crater sampling
80,13621,4727,1922-10-11,Collected sample from desert
81,5381,9261,1904-06-09,Arid plateau mission
82,55463,19524,2025-03-08,Remote island retrieval
83,40642,25588,1948-11-27,Deep cave exploration
84,29913,25248,1930-12-22,Meteor crater excavation
85,51974,19704,1916-03-08,Expedition in polar region
86,4405,6072,1946-11-04,Deep cave exploration
87,46649,28456,1914-11-03,Expedition in polar region
88,38956,18598,1938-08-19,Expedition in polar region
89,12916,486,1916-04-28,Field collection in forest
90,25497,557,2005-12-27,Urban expedition
91,23171,778,2023-10-12,Deep cave exploration
92,19910,38113,1933-10-27,Archaeological site investigation
93,19889,2636,1908-02-06,Arid plateau mission
94,22771,18298,1972-01-17,Tropical rainforest expedition
95,54512,700,1919-05-30,Glacial core drilling
96,17931,36064,1985-10-27,Meteor crater excavation
97,19657,799,1929-12-14,Arid plateau mission
98,51878,28725,1973-12-17,Expedition in polar region
99,21985,29332,1948-09-06,Mountain peak sampling
100,15504,11835,1954-03-22,Remote island retrieval
101,55475,9084,1978-04-25,Mountain peak sampling
102,3675,7212,1928-09-02,Underwater exploration
103,13537,21506,1923-03-23,Field collection in forest
104,29811,30020,1969-06-17,Desert dune survey
105,19514,30023,1937-03-27,Glacial core drilling
106,12100,30083,1967-03-15,Tropical rainforest expedition
107,21410,27647,1957-03-05,Remote island retrieval
108,49956,15999,1949-10-07,Glacial core drilling
109,562,15055,2016-10-28,Ice shelf reconnaissance
110,22098,27444,1904-12-06,Meteor crater excavation
111,51702,16589,1962-03-20,Ice shelf reconnaissance
112,53348,31008,2018-08-18,Field collection in forest
113,22277,21672,1959-02-02,Ice shelf reconnaissance
114,35520,1891,1949-05-03,Mountain peak sampling
115,46954,16057,2009-04-10,Meteor crater excavation
116,7712,18938,1901-06-13,Collected sample from desert
117,16842,7264,2012-06-07,Mountain peak sampling
118,8693,14621,1917-12-16,Expedition in polar region
119,56236,20479,2016-02-04,Expedition in polar region
120,50559,7687,2001-02-11,High-altitude balloon collection
121,55338,28916,1903-07-02,Urban expedition
122,6026,16717,2007-04-15,Volcanic crater sampling
123,53540,21686,1901-01-02,Meteor crater excavation
124,23500,14071,1912-04-18,Desert dune survey
125,16221,20414,2000-03-02,Archaeological site investigation
126,28911,9532,1991-06-23,Desert dune survey
127,1137,32349,1912-08-30,Field collection in forest
128,35519,7268,1921-10-23,High-altitude balloon collection
129,49798,3631,1976-05-20,Ice shelf reconnaissance
130,18715,14216,1926-08-07,Archaeological site investigation
131,46822,38012,1938-10-28,Underwater exploration
132,45562,26531,1934-03-26,Mountain peak sampling
133,8640,29864,1952-09-01,Meteor crater excavation
134,4138,2372,1966-11-20,Arid plateau mission
135,54015,2762,1951-04-25,Glacial core drilling
136,7476,29714,1947-09-27,Arid plateau mission
137,29570,12316,1929-03-14,Arid plateau mission
138,5879,16696,1950-06-03,Archaeological site investigation
139,35627,4648,1946-04-26,Desert dune survey
140,37846,16310,1944-09-30,Expedition in polar region
141,12531,13817,1989-02-14,Arid plateau mission
142,5032,24311,1904-10-21,Arid plateau mission
143,18519,2468,2010-10-05,Ice shelf reconnaissance
144,23579,2002,1980-07-10,Archaeological site investigation
145,24650,11642,1939-04-11,Mountain peak sampling
146,8948,33496,1999-07-29,Deep cave exploration
147,20692,22024,1907-11-09,Urban expedition
148,30754,10001,2004-03-02,Volcanic crater sampling
149,26894,35317,1901-10-24,Ice shelf reconnaissance
150,57182,34465,1969-10-10,Volcanic crater sampling
151,51740,14890,1920-12-08,Archaeological site investigation
152,19643,5482,2021-10-02,High-altitude balloon collection
153,28017,35297,2025-09-27,Volcanic crater sampling
154,12483,2125,1944-08-14,Mountain peak sampling
155,20982,10514,1911-11-16,Tropical rainforest expedition
156,16164,226,1990-12-03,High-altitude balloon collection
157,27039,11236,2013-11-16,Ice shelf reconnaissance
158,56916,19427,1926-10-31,Remote island retrieval
159,10138,32097,1975-06-27,Collected sample from desert
160,52529,2818,1932-12-04,Archaeological site investigation
161,49843,6181,1963-10-16,Expedition in polar region
162,24994,20146,1927-10-24,Collected sample from desert
163,24688,7,1983-09-04,Collected sample from desert
164,8783,24786,1958-09-24,Expedition in polar region
165,26497,31157,1911-04-22,High-altitude balloon collection
166,24977,31513,1952-06-01,Arid plateau mission
167,52636,7433,1913-03-23,Glacial core drilling
168,19000,33254,1912-09-02,Collected sample from desert
169,28559,23960,2017-04-27,Desert dune survey
170,13356,31747,1959-06-10,Archaeological site investigation
171,20531,24603,1930-02-14,High-altitude balloon collection
172,54446,29181,1972-01-17,Volcanic crater sampling
173,23977,33504,1958-06-24,Archaeological site investigation
174,26267,33162,1930-06-18,Meteor crater excavation
175,14432,33819,2015-07-07,Underwater exploration
176,38578,36165,1925-04-22,Archaeological site investigation
177,39885,25558,2025-05-21,Tropical rainforest expedition
178,28877,9304,2017-08-29,Ice shelf reconnaissance
179,14124,23710,1910-10-28,Deep cave exploration
180,5690,21879,1942-07-12,Tropical rainforest expedition
181,13084,7926,1991-08-14,Ice shelf reconnaissance
182,57334,15907,1970-11-28,Underwater exploration
183,18857,22078,1920-09-30,Desert dune survey
184,57016,574,1973-03-29,Field collection in forest
185,10562,1437,1920-01-18,High-altitude balloon collection
186,53602,12871,1952-12-26,Glacial core drilling
187,6692,29319,2000-02-19,Glacial core drilling
188,38929,8022,2012-07-24,Meteor crater excavation
189,20759,20456,1903-11-18,Mountain peak sampling
190,19033,2882,1986-06-25,Ice shelf reconnaissance
191,38880,87,1956-02-18,Meteor crater excavation
192,10012,5350,1976-03-03,Desert dune survey
193,26369,16708,1943-01-22,Ice shelf reconnaissance
194,933,6871,2019-08-29,Underwater exploration
195,56959,2041,2022-04-07,Field collection in forest
196,56596,18595,1993-08-25,Volcanic crater sampling
197,24754,7657,1957-06-08,Collected sample from desert
198,16984,11254,1971-09-21,Mountain peak sampling
199,56632,29560,2014-08-25,Urban expedition
200,14180,2394,2009-07-17,Collected sample from desert
201,27300,9301,1961-07-28,Deep cave exploration
202,19806,19553,1946-10-04,Collected sample from desert
203,56384,7581,1926-09-20,Collected sample from desert
204,9083,36256,1960-12-11,Urban expedition
205,20139,5843,1972-10-25,Desert dune survey
206,46681,23558,1915-10-01,Urban expedition
207,47756,16127,1948-10-10,Underwater exploration
208,20200,35665,2016-10-21,Meteor crater excavation
209,54193,7843,2014-03-06,Collected sample from desert
210,49413,23691,1950-08-16,Mountain peak sampling
211,19985,34877,1960-06-12,Meteor crater excavation
212,32763,37761,1968-03-10,Expedition in polar region
213,53310,2735,1926-10-19,Arid plateau mission
214,21789,9721,1953-04-18,Archaeological site investigation
215,6354,21082,1988-06-13,Collected sample from desert
216,15750,34344,2024-08-06,Tropical rainforest expedition
217,225,9656,1923-06-28,Desert dune survey
218,14630,27969,1961-05-21,Archaeological site investigation
219,46730,25793,1912-05-25,Underwater exploration
220,50439,2005,1995-01-18,Volcanic crater sampling
221,45441,37092,1970-09-04,Desert dune survey
222,48021,30015,1965-02-03,Arid plateau mission
223,17846,32456,1986-01-12,Deep cave exploration
224,29045,18871,2023-09-06,Arid plateau mission
225,56155,29565,1921-09-24,Ice shelf reconnaissance
226,16643,7589,1924-01-10,Arid plateau mission
227,20033,21812,1900-11-08,Underwater exploration
228,54802,19576,1924-09-01,Meteor crater excavation
229,54771,23573,1966-09-12,High-altitude balloon collection
230,15726,35977,2014-11-11,Expedition in polar region
231,40087,15440,1902-11-26,Mountain peak sampling
232,37789,728,1902-02-22,Volcanic crater sampling
233,9698,30288,2022-11-20,Tropical rainforest expedition
234,8535,17658,1953-07-01,Mountain peak sampling
235,53545,6972,1943-04-15,Meteor crater excavation
236,3880,31676,2013-03-14,Expedition in polar region
237,56777,2876,1975-11-19,Archaeological site investigation
238,6125,20834,1933-03-07,Urban expedition
239,29919,28675,1926-02-28,Urban expedition
240,51776,20857,1958-05-21,Arid plateau mission
241,28150,22932,1993-08-19,Expedition in polar region
242,34503,23637,1919-02-13,Urban expedition
243,14656,10474,2020-05-13,Underwater exploration
244,16397,34600,2019-07-25,Desert dune survey
245,10596,9566,1998-02-04,Volcanic crater sampling
246,19862,14791,2007-11-30,Field collection in forest
247,29832,8612,1943-10-17,Underwater exploration
248,22215,18314,1978-10-02,Arid plateau mission
249,17791,31964,1988-12-30,Expedition in polar region
250,28465,19937,1972-03-15,Expedition in polar region
251,20744,12776,1983-09-20,Desert dune survey
252,24932,14803,2001-11-29,Deep cave exploration
253,7787,20942,2015-05-05,Volcanic crater sampling
254,50096,15568,1968-01-11,Volcanic crater sampling
255,20845,29637,2015-04-24,Meteor crater excavation
256,49661,33010,1953-04-19,Remote island retrieval
257,25701,4317,2005-09-02,Urban expedition
258,1143,1773,1943-08-22,Tropical rainforest expedition
259,10930,12527,1986-10-17,Expedition in polar region
260,20695,28900,1969-03-22,Arid plateau mission
261,5779,31611,2001-10-19,Glacial core drilling
262,34513,24012,1946-05-26,Arid plateau mission
263,3678,652,1900-06-13,Tropical rainforest expedition
264,9929,21003,1961-03-21,Deep cave exploration
265,52845,4368,1904-06-03,Desert dune survey
266,48124,16879,2023-07-13,Expedition in polar region
267,5796,10980,1991-03-16,Underwater exploration
268,54222,26760,1967-12-14,Deep cave exploration
269,8232,25409,1950-03-28,Archaeological site investigation
270,33639,19944,1936-12-01,Meteor crater excavation
271,52597,2284,1930-03-08,High-altitude balloon collection
272,15527,3565,2012-07-24,Glacial core drilling
273,29559,17147,1999-10-19,Remote island retrieval
274,24651,29643,2003-01-18,Urban expedition
275,14229,491,1997-11-10,Field collection in forest
276,45747,17493,1974-11-11,Tropical rainforest expedition
277,13685,24606,1948-08-11,Arid plateau mission
278,19874,8736,1962-05-23,Ice shelf reconnaissance
279,6765,20030,1986-11-25,Tropical rainforest expedition
280,15682,6252,1917-01-22,Archaeological site investigation
281,54239,2898,1981-02-17,Collected sample from desert
282,12218,5232,1903-08-24,Collected sample from desert
283,12451,6765,1959-06-30,Underwater exploration
284,22376,14405,2013-03-08,Expedition in polar region
285,54218,21730,2018-11-07,Underwater exploration
286,53303,4685,2004-04-04,Underwater exploration
287,38262,30523,1977-12-29,Expedition in polar region
288,30377,18134,1976-01-11,Ice shelf reconnaissance
289,727,20602,1974-07-29,Collected sample from desert
290,25691,11397,1966-06-26,Deep cave exploration
291,53549,29625,1949-01-12,Remote island retrieval
292,35626,35544,1991-10-15,Meteor crater excavation
293,23105,24928,1922-01-11,Collected sample from desert
294,49688,31268,1996-02-27,High-altitude balloon collection
295,15422,4728,1973-07-23,Deep cave exploration
296,743,12969,1959-01-20,Ice shelf reconnaissance
297,11625,12168,1917-05-12,High-altitude balloon collection
298,35726,29531,1994-07-14,Ice shelf reconnaissance
299,9270,17771,1949-06-25,Mountain peak sampling
300,10378,16325,1934-11-25,Arid plateau mission
301,11930,23529,1942-01-09,Deep cave exploration
302,10352,19797,1952-08-14,Field collection in forest
303,40483,31515,1910-11-07,Archaeological site investigation
304,7382,37737,1959-09-09,Glacial core drilling
305,46481,3662,1971-10-18,Arid plateau mission
306,10912,7422,1929-04-18,Arid plateau mission
307,2140,17157,1913-09-23,Deep cave exploration
308,16122,28256,1933-12-10,Volcanic crater sampling
309,19405,31512,1978-06-21,Field collection in forest
310,25704,2046,1939-06-23,Underwater exploration
311,231,11632,1927-10-07,Volcanic crater sampling
312,57004,33597,1986-01-30,Ice shelf reconnaissance
313,50290,8687,1945-02-20,Volcanic crater sampling
314,40394,2763,1957-10-12,Expedition in polar region
315,50406,31756,2007-08-06,Underwater exploration
316,10835,30013,1978-11-28,Desert dune survey
317,26083,9505,1982-11-02,Expedition in polar region
318,33524,24681,1914-11-04,Remote island retrieval
319,22673,15640,1933-09-14,Collected sample from desert
320,49669,38024,2002-03-02,Arid plateau mission
321,12421,27741,1917-05-23,Mountain peak sampling
322,9115,203,1932-06-11,Field collection in forest
323,19456,14461,2019-12-23,Expedition in polar region
324,56050,8463,1940-08-17,High-altitude balloon collection
325,51099,22961,2022-09-22,Remote island retrieval
326,53950,23877,2022-08-18,Volcanic crater sampling
327,12992,26714,1920-07-21,High-altitude balloon collection
328,8176,15029,1922-10-01,High-altitude balloon collection
329,54969,1918,1942-11-22,Meteor crater excavation
330,46590,30782,1969-10-08,High-altitude balloon collection
331,8159,25145,1905-09-19,Meteor crater excavation
332,51702,29551,1960-11-15,Archaeological site investigation
333,7507,37807,1921-10-28,Glacial core drilling
334,37931,13507,1991-05-04,Collected sample from desert
335,27213,33501,1900-09-16,Tropical rainforest expedition
336,47923,937,1935-02-27,Glacial core drilling
337,22049,15918,2023-12-12,Ice shelf reconnaissance
338,47748,31929,1903-06-17,Meteor crater excavation
339,6787,22952,1950-02-18,Mountain peak sampling
340,19375,777,1959-06-23,Volcanic crater sampling
341,38116,13833,1962-09-17,Volcanic crater sampling
342,26567,15524,1942-02-09,Remote island retrieval
343,15765,18594,1915-07-15,Deep cave exploration
344,11742,27146,1919-11-13,Collected sample from desert
345,18901,25297,1962-08-12,Glacial core drilling
346,25286,26062,2004-09-27,Underwater exploration
347,18930,5701,1996-02-11,Expedition in polar region
348,26430,34417,1966-02-12,Field collection in forest
349,18861,35885,1952-08-02,Archaeological site investigation
350,54139,26831,1909-07-11,Urban expedition
351,19406,17611,1904-04-16,Field collection in forest
352,39614,37917,1990-09-20,Deep cave exploration
353,56665,6522,2024-07-30,Ice shelf reconnaissance
354,29739,16600,1935-01-09,Expedition in polar region
355,10412,12222,2025-12-02,High-altitude balloon collection
356,54577,36269,1942-12-10,Mountain peak sampling
357,30068,21312,1974-05-03,Glacial core drilling
358,4544,11690,2021-06-17,Urban expedition
359,48387,12402,1984-03-04,Ice shelf reconnaissance
360,1562,34024,1962-03-05,Tropical rainforest expedition
361,27931,11567,1997-10-01,Expedition in polar region
362,13067,21520,1993-06-22,Deep cave exploration
363,46946,36684,1921-12-08,Expedition in polar region
364,22323,26194,2023-06-29,Arid plateau mission
365,20782,30106,2015-04-03,Field collection in forest
366,11688,33727,1975-11-25,Meteor crater excavation
367,30699,7866,1913-07-03,Expedition in polar region
368,51621,37041,2019-10-18,Underwater exploration
369,28367,28294,1975-12-02,Urban expedition
370,1948,3085,2014-06-01,Arid plateau mission
371,49796,29420,1975-03-18,Remote island retrieval
372,53287,21701,1901-02-05,Underwater exploration
373,1323,27066,1922-04-26,Underwater exploration
374,48441,28240,1918-11-24,Remote island retrieval
375,24436,35960,2017-05-08,Expedition in polar region
376,31305,36693,1961-11-28,Collected sample from desert
377,15467,4800,1982-03-25,Deep cave exploration
378,26838,27826,1950-06-19,Underwater exploration
379,843,21712,1955-05-21,Expedition in polar region
380,39404,17039,1939-07-15,Meteor crater excavation
381,18149,37462,1994-01-09,High-altitude balloon collection
382,47902,25121,2009-08-24,Mountain peak sampling
383,20745,24872,1934-10-07,Meteor crater excavation
384,28413,10347,1931-08-16,Collected sample from desert
385,40620,15525,1986-04-02,Ice shelf reconnaissance
386,11478,7415,1912-05-21,Ice shelf reconnaissance
387,13927,597,1960-09-11,High-altitude balloon collection
388,6210,15684,2025-08-18,Tropical rainforest expedition
389,23998,3186,1993-08-02,Glacial core drilling
390,55981,19788,1982-12-17,Collected sample from desert
391,57047,14292,1914-05-26,High-altitude balloon collection
392,24313,31222,1918-05-10,Desert dune survey
393,38354,18195,1900-07-30,Archaeological site investigation
394,23971,32582,1931-11-28,Remote island retrieval
395,56309,12272,1915-04-20,Desert dune survey
396,48118,14771,2009-08-31,Archaeological site investigation
397,13718,35038,1947-10-22,Meteor crater excavation
398,8488,22778,1964-08-26,Collected sample from desert
399,47360,280,1948-02-18,Mountain peak sampling
400,16694,26257,1910-10-19,Desert dune survey
401,47979,26121,1960-10-28,Desert dune survey
402,50350,4399,1941-05-30,Tropical rainforest expedition
403,4319,37454,1993-10-16,Meteor crater excavation
404,24822,9566,1967-07-08,Underwater exploration
405,12981,2978,2009-09-16,Urban expedition
406,54132,32850,1968-03-13,Ice shelf reconnaissance
407,3388,15257,1943-07-26,Arid plateau mission
408,55531,25337,1915-11-07,Underwater exploration
409,11956,14599,1970-10-27,High-altitude balloon collection
410,6965,5330,2002-07-23,Underwater exploration
411,24004,19084,1984-11-30,Archaeological site investigation
412,35519,13751,2010-12-17,Collected sample from desert
413,35515,3799,1943-03-31,Arid plateau mission
414,54738,21622,1988-11-14,Underwater exploration
415,28464,33996,1994-12-08,Meteor crater excavation
416,24188,22848,1948-04-03,Urban expedition
417,25938,17055,1971-07-09,Tropical rainforest expedition
418,16710,18064,1952-05-18,Mountain peak sampling
419,35504,10343,1942-04-07,Archaeological site investigation
420,16342,27779,2013-11-18,Expedition in polar region
421,5000,33441,1961-02-23,Mountain peak sampling
422,10165,26689,1939-06-14,Field collection in forest
423,12947,23182,2007-04-12,Deep cave exploration
424,4814,15306,1949-05-20,Remote island retrieval
425,19064,4603,1976-08-31,Tropical rainforest expedition
426,9345,37678,2000-04-29,Arid plateau mission
427,48367,20519,1967-06-08,Archaeological site investigation
428,20062,22500,1930-07-12,Ice shelf reconnaissance
429,25342,13102,1946-11-24,Underwater exploration
430,13130,21681,1959-11-11,Archaeological site investigation
431,22439,29891,1912-05-18,Mountain peak sampling
432,11529,21893,1972-09-09,Remote island retrieval
433,19558,3123,1990-06-26,Mountain peak sampling
434,5716,4866,2006-09-17,Archaeological site investigation
435,33515,5818,1917-06-14,High-altitude balloon collection
436,28389,2700,1967-06-13,Deep cave exploration
437,40467,18485,1961-01-02,Tropical rainforest expedition
438,993,25674,1903-11-09,Archaeological site investigation
439,18218,27252,1902-01-19,Volcanic crater sampling
440,17340,18542,2001-08-19,Expedition in polar region
441,6323,20596,1904-11-29,Collected sample from desert
442,455,11470,2024-07-12,Collected sample from desert
443,11533,19834,2009-09-30,Expedition in polar region
444,56851,32837,1959-06-09,Meteor crater excavation
445,28634,38114,2015-06-28,Field collection in forest
446,3310,25340,2016-02-07,Desert dune survey
447,6706,23668,1939-10-03,Expedition in polar region
448,12462,12422,1906-11-18,Ice shelf reconnaissance
449,19222,3916,1980-02-26,Remote island retrieval
450,47946,21466,1909-01-09,Urban expedition
451,51065,17202,1940-03-20,Archaeological site investigation
452,21810,35479,1933-03-24,Remote island retrieval
453,51232,4305,1991-10-06,Volcanic crater sampling
454,54969,34073,2018-08-18,Expedition in polar region
455,50588,25014,2014-07-22,Ice shelf reconnaissance
456,136,6391,1930-02-13,Tropical rainforest expedition
457,53241,34129,1912-07-10,Tropical rainforest expedition
458,46750,25129,1984-12-08,Meteor crater excavation
459,56021,22540,1944-04-17,Deep cave exploration
460,54613,25110,1909-07-23,Arid plateau mission
461,29715,35172,1905-06-27,Tropical rainforest expedition
462,54097,25203,1958-12-15,Mountain peak sampling
463,24096,37540,2006-10-01,Arid plateau mission
464,10177,17060,1956-09-06,Underwater exploration
465,23291,36129,2011-05-31,Volcanic crater sampling
466,49058,12550,1958-04-14,Archaeological site investigation
467,56997,30226,1941-09-11,Meteor crater excavation
468,57348,13100,1952-10-02,Deep cave exploration
469,5186,21893,2018-07-22,Arid plateau mission
470,3564,8022,1994-10-15,Field collection in forest
471,27284,7243,1999-08-27,Deep cave exploration
472,19071,30733,2020-06-04,Urban expedition
473,23408,10196,1920-03-20,Tropical rainforest expedition
474,14909,27319,1947-05-05,Expedition in polar region
475,7821,13441,1955-09-03,Field collection in forest
476,50741,35426,2016-04-26,Archaeological site investigation
477,24196,7807,1930-11-03,Desert dune survey
478,1128,3500,1955-01-23,Tropical rainforest expedition
479,12990,16391,2003-03-08,Deep cave exploration
480,16282,23276,1934-04-30,Urban expedition
481,46729,28869,1957-02-10,Glacial core drilling
482,26887,21132,1974-08-17,Mountain peak sampling
483,8181,20665,1968-06-12,Collected sample from desert
484,31358,832,1922-04-09,Glacial core drilling
485,47331,164,1999-06-16,Expedition in polar region
486,16629,33677,1942-03-22,Glacial core drilling
487,37926,12491,2020-09-22,Remote island retrieval
488,7723,23395,1995-09-27,Collected sample from desert
489,16570,34525,2025-08-15,Tropical rainforest expedition
490,22670,27049,1997-06-17,Field collection in forest
491,56909,11195,1984-06-09,Urban expedition
492,55411,15193,1925-07-30,Meteor crater excavation
493,10760,9986,1991-03-20,Field collection in forest
494,29818,28273,1942-05-23,Archaeological site investigation
495,20472,26200,1933-09-30,Underwater exploration
496,39879,11797,2012-03-12,Tropical rainforest expedition
497,28359,4007,2007-01-16,Arid plateau mission
498,20988,16329,1983-09-11,Glacial core drilling
499,14394,13957,1937-08-02,Arid plateau mission
500,26019,9693,1931-01-22,Tropical rainforest expedition
501,30023,17901,1973-09-16,Underwater exploration
502,1853,34413,1924-06-24,Glacial core drilling
503,572,13760,2014-12-20,Desert dune survey
504,14093,37525,1949-11-15,Meteor crater excavation
505,13970,33362,1902-10-06,Underwater exploration
506,56207,6097,1957-03-16,Expedition in polar region
507,56204,1937,1985-07-10,High-altitude balloon collection
508,17007,27402,1928-02-18,Desert dune survey
509,10479,19539,1931-03-16,Desert dune survey
510,18476,10555,1919-06-03,Underwater exploration
511,28866,25759,2003-07-06,Remote island retrieval
512,9579,2162,1988-03-25,Deep cave exploration
513,16123,2937,1967-01-09,Field collection in forest
514,1413,5435,1913-11-10,Ice shelf reconnaissance
515,39234,23933,1972-08-28,Desert dune survey
516,969,34877,1994-11-23,Archaeological site investigation
517,22605,28814,1933-04-08,High-altitude balloon collection
518,7423,19611,1966-10-24,Expedition in polar region
519,34271,37571,1966-05-11,Arid plateau mission
520,50573,17202,1952-05-21,Remote island retrieval
521,24433,15386,1969-05-25,Ice shelf reconnaissance
522,16565,23182,2004-09-04,Meteor crater excavation
523,40048,37909,1917-07-31,Ice shelf reconnaissance
524,11802,26060,1987-12-16,Underwater exploration
525,9861,35856,1929-12-29,High-altitude balloon collection
526,18540,35646,1900-06-11,Expedition in polar region
527,22685,19207,1954-03-03,Arid plateau mission
528,7533,21590,2014-04-24,Urban expedition
529,22510,20098,1934-07-25,Underwater exploration
530,38847,1206,2018-01-16,Field collection in forest
531,4444,6422,1983-02-23,Mountain peak sampling
532,27939,24045,1955-06-07,High-altitude balloon collection
533,80,7209,1925-12-19,Meteor crater excavation
534,46554,13678,1926-09-03,Ice shelf reconnaissance
535,46496,2884,1925-01-20,Field collection in forest
536,47961,30790,1983-03-20,Meteor crater excavation
537,20198,16944,2007-07-27,Archaeological site investigation
538,210,20018,1962-03-31,Underwater exploration
539,56274,29068,1917-05-06,Underwater exploration
540,1509,27877,1939-01-12,Field collection in forest
541,21914,23946,1970-09-07,Collected sample from desert
542,50535,11594,1974-03-16,Field collection in forest
543,2552,5068,1920-12-24,Desert dune survey
544,28023,6209,1936-07-09,Mountain peak sampling
545,16282,22470,1949-02-25,Collected sample from desert
546,601,22256,1948-06-05,Archaeological site investigation
547,13419,11578,1959-08-04,Collected sample from desert
548,21221,7430,1935-02-10,Arid plateau mission
549,20480,35036,2004-04-21,Urban expedition
550,57367,28334,1937-03-04,Tropical rainforest expedition
551,1961,7311,2005-01-03,Mountain peak sampling
552,25651,34369,1929-10-29,Collected sample from desert
553,10824,37909,1990-08-07,Remote island retrieval
554,17728,34246,1919-12-01,Underwater exploration
555,28213,32797,2013-02-11,Glacial core drilling
556,18731,14084,1938-04-24,Remote island retrieval
557,15443,14165,2016-11-22,Archaeological site investigation
558,7132,19707,1957-12-26,Meteor crater excavation
559,13346,6491,1974-05-25,Remote island retrieval
560,13380,29564,1970-10-07,Expedition in polar region
561,5818,4949,1989-09-28,Underwater exploration
562,21069,4267,2020-06-30,Underwater exploration
563,21644,24313,1919-01-30,Archaeological site investigation
564,11641,10346,1939-05-18,Underwater exploration
565,25612,14431,1972-02-21,Urban expedition
566,14646,33672,1980-07-21,Archaeological site investigation
567,55341,254,2011-07-15,Glacial core drilling
568,1005,12868,2003-05-15,Deep cave exploration
569,40324,37573,2001-08-24,Tropical rainforest expedition
570,889,13382,1990-08-28,Underwater exploration
