funding_id,scientist_id,amount,sponsor,year
160,16933,198454,Quantum Space,1968
161,25881,127688,Telesat,1975
162,10006,396562,ISRO,1975
163,2911,112717,Aerospace Corporation,1975
164,26543,229732,Planetary Resources,1996
165,26742,125006,SpaceIL,1993
166,5749,273837,Rocket Lab,1994
167,14831,407816,Northrop Grumman,1912
168,25728,480515,Lockheed Martin,1984
169,22083,120039,Astrocast,1934
170,11397,455926,University,2018
171,27420,234035,Hughes,1946
172,7619,439645,Space Angels,2016
173,5434,394265,SSL,1951
174,9105,158677,Aerojet Rocketdyne,2001
175,1018,360697,The Planetary Society,2019
176,35411,103841,GomSpace,2003
177,25539,467235,NASA,2025
178,12042,233518,Firefly Aerospace,1995
179,32421,192037,JAXA,2008
180,32936,358707,Zero 2 Infinity,1955
181,13727,135916,Iridium,1958
182,29492,112005,Virgin Galactic,1998
183,26907,137143,Rocket Crafters,1917
184,30428,425353,Diehl Aerospace,1900
185,22217,368366,MDA,1903
186,29275,324688,Planetary Resources,1949
187,30155,331908,Planetary Resources,1921
188,15873,119174,ITAR Solutions,1959
189,15641,214686,University,1914
190,15643,249023,Firefly Aerospace,1933
191,14844,496841,Boeing Defense,1919
192,17454,167795,Orbit Fab,1946
193,37594,171727,Maxar Technologies,2006
194,23065,365158,Orbcomm,2019
195,28016,251437,Space Systems Loral,1915
196,8747,275305,Swarm Technologies,1924
197,34397,382612,Arianespace,1978
198,27443,372576,Telesat,1974
199,12112,321221,KARI,1964
200,30086,273677,ESA,1931
201,31401,146545,Virgin Galactic,1919
202,25704,209908,Lockheed Martin Space,1923
203,4580,135557,Lockheed Martin Space,1959
204,33316,274210,Fleet Space Technologies,1933
205,22174,266313,Private,1921
206,32883,145695,Northrop Grumman,2009
207,4495,462072,Effective Innovations,1932
208,13615,371781,SpacePharma,1956
209,31587,413160,SpaceX,1983
210,21553,317872,Boeing Defense,1979
211,22693,253734,Vector Launch,1911
212,9919,461359,Society of Exploration Geophysicists,1930
213,27148,112808,Firefly Rocket Technologies,1940
214,16442,165823,Inmarsat,1960
215,18564,427427,Private,1917
216,32022,489801,Viasat,1933
217,22032,367454,SpaceX,1930
218,17843,166411,L3Harris,1923
219,13462,246660,Inmarsat,1934
220,28070,459185,Axiom Space,1919
221,2325,455895,ISRO,1925
222,2297,479871,The Planetary Society,1979
223,5595,110111,MDA,1975
224,18859,495805,NSF,1966
225,20198,106224,OneWeb,1969
226,36464,465430,CNES,1944
227,25751,411566,Kepler Communications,1967
228,1185,488915,Inmarsat,2018
229,11379,386594,NSF,2004
230,15315,179500,NewSpace Capital,1955
231,17402,411484,Virgin Galactic,1999
232,6759,312876,NASA,1915
233,28644,321747,NewSpace Capital,1992
234,22737,423438,Xplore,1964
235,5456,249111,PLD Space,1909
236,21688,217879,Maxar Technologies,1999
237,1039,348131,Maxar Technologies,1983
238,32279,441913,Space Foundation,1906
239,22903,344908,Thales Alenia Space,1928
240,8627,258233,ITAR Solutions,1980
241,6144,471141,Astrocast,2004
242,33873,129005,ITAR Solutions,2022
243,6486,251939,Telesat,1993
244,21422,269280,Zero 2 Infinity,1977
245,33740,434152,Ball Aerospace,1973
246,1114,267128,CNES,1924
247,30973,220994,University,1974
248,25502,183549,GomSpace,1945
249,14280,485567,SpaceIL,1991
250,13004,207261,Cubic Corporation,1947
251,23413,412936,Firefly Aerospace,2006
252,2192,156280,CNES,1929
253,37908,357362,NewSpace Capital,1923
254,17682,148807,Space Systems Loral,1986
255,10197,446477,Made In Space,1915
256,22410,473982,Firefly Aerospace,1908
257,26577,420826,Space Foundation,1901
258,36526,135489,Lockheed Martin Space,1924
259,20493,412700,Interstellar,1948
260,24195,284411,Lockheed Martin Space,1914
261,30701,483019,CNSA,1958
262,19335,245253,Hughes,1937
263,26163,195591,Space Foundation,1916
264,7065,151058,Roscosmos,1944
265,35090,478656,Vector Launch,1931
266,667,227036,Space Systems Loral,1942
267,13669,234179,Roscosmos,1974
268,13025,297032,Rocket Lab,1900
269,29003,252736,Maxar Technologies,2012
270,14100,492540,Interstellar,2012
271,21720,266075,Hughes,1950
272,20646,499025,Space Foundation,2015
273,4599,229852,Axiom Space,2015
274,2970,389231,Lockheed Martin,2006
275,996,323851,Harris Corporation,1928
276,33166,341382,Spire Global,1939
277,20467,257100,CNES,1961
278,37056,239375,Firefly Rocket Technologies,1909
279,6515,493484,Bigelow Aerospace,2000
280,13056,410718,Boeing,2005
281,25222,487671,Paragon Space Development Corporation,1958
282,5366,194888,Thales Alenia Space,1913
283,14859,310686,Intelsat,1985
284,23529,212897,Maxar Technologies,1948
285,27270,327260,SpaceIL,1946
286,15431,425217,Xplore,1906
287,22673,268549,PLD Space,1916
288,8934,207366,Arianespace,1949
289,21606,498490,Space Angels,1942
290,17264,337945,Aerospace Corporation,1914
291,7012,410721,Boeing,1976
292,3628,188718,Raytheon,1918
293,31231,238392,Private,2019
294,11195,301386,Space Adventures,1996
295,27007,213372,Firefly Aerospace,1965
296,20584,349998,Northrop Grumman,1925
297,33973,411908,The Planetary Society,1934
298,24140,385991,University,1919
299,29137,242498,Planet Labs,1939
300,3242,119003,Virgin Galactic,2008
301,22042,163257,Maxar Technologies,1951
302,13667,119975,CNSA,1981
303,35771,109987,Effective Innovations,2025
304,18791,299350,Cubic Corporation,1956
305,5632,383312,Arianespace,1931
306,9013,340762,Dynetics,1965
307,1616,356200,Exos Aerospace,1956
308,12688,486104,OHB System,1988
309,31863,402730,Made In Space,1963
310,21429,460843,Eutelsat,1901
311,14999,358036,Northrop Grumman Innovation Systems,1922
312,230,285645,Telesat,1989
313,7386,284048,Orbital ATK,1929
314,4880,333370,Kepler Communications,1997
315,612,165956,NASA,1995
316,24558,130039,Arianespace,1920
317,29156,442446,Dynetics,1974
318,18925,142193,SpacePharma,1918
319,19130,412383,SpacePharma,1956
320,24279,345936,Sierra Nevada Corporation,1955
321,9566,354835,Exos Aerospace,1907
322,7888,233530,Lockheed Martin,1993
323,15184,198305,Paragon Space Development Corporation,1998
324,21553,310158,MDA,1956
325,30510,478348,JAXA,1904
326,27976,345166,GomSpace,2003
327,33971,494413,Boeing Defense,1911
328,14554,271734,Tyvak Nano-Satellite Systems,1902
329,10065,473776,Mitsubishi Heavy Industries,1916
330,15378,161442,Thales Alenia Space,1961
331,19937,479876,Intelsat,1904
332,36232,487650,L3Harris,1940
333,7566,384881,Aerospace Corporation,2011
334,33303,289252,Rocket Lab,2007
335,25128,419311,Orbital ATK,1954
336,1565,153399,AeroVironment,1958
337,11911,177846,Astrocast,1972
338,13640,488584,Raytheon,1974
339,526,439958,Northrop Grumman,2018
340,17931,223088,Virgin Galactic,1953
341,1895,280821,Vector Launch,1951
342,32928,120513,Maxar Technologies,2001
343,6983,184702,Boeing,2021
344,20200,171769,Private,1930
345,22204,185163,Cobham,1940
346,314,470859,Mitsubishi Heavy Industries,1923
347,9014,258932,Firefly Aerospace,2008
348,36525,320399,Planetary Resources,1952
349,14221,109451,JAXA,1926
350,26146,412666,Maxar Technologies,1963
351,24619,371381,Northrop Grumman Innovation Systems,1932
352,15888,311056,ASI,1922
353,6554,464348,Mitsubishi Heavy Industries,1925
354,36521,122036,Arianespace,1948
355,27610,484519,Space Generation Advisory Council,1931
356,33372,454133,SpaceX,1973
357,31116,468370,Northrop Grumman Innovation Systems,1949
358,13339,495893,Northrop Grumman Innovation Systems,2017
359,31632,496378,The Planetary Society,1998
360,34702,465784,Eutelsat,1979
361,10026,491931,Quantum Space,1991
362,10736,367455,Vulcan Inc.,2009
363,26661,365670,SES,2015
364,7673,440666,Society of Exploration Geophysicists,1950
365,36230,363606,CNSA,1929
366,8274,117900,Mitsubishi Heavy Industries,1907
367,20187,409522,Astrocast,1976
368,22176,125860,Orbit Fab,1900
369,28842,348651,Planetary Resources,1914
370,18633,444543,PLD Space,1918
371,2023,305168,Spire Global,1910
372,36727,112377,Planet Labs,1905
373,11666,182036,Iridium,1928
374,3698,292013,University,1900
375,18381,492131,Eutelsat,1970
376,33126,297365,Intelsat,1977
377,5032,374830,NSF,1916
378,26556,347838,Thales Alenia Space,1981
379,18087,178015,Xplore,1986
380,10846,294670,University,1990
381,7680,333991,Vector Launch,1931
382,15518,487729,Telesat,1989
383,522,245923,Eutelsat,1947
384,4434,432091,Aerojet Rocketdyne,2011
385,31686,111734,Harris Corporation,1902
386,13436,456086,ESA,1907
387,6780,243843,Aerospace Corporation,1922
388,13124,367545,Swarm Technologies,2012
389,12156,219488,Diehl Aerospace,1916
390,36542,276397,ITAR Solutions,2016
391,4427,468704,Spire Global,1951
392,18191,252871,MDA,1930
393,10446,122750,Thales Alenia Space,1980
394,28188,410378,ExPace,1946
395,4137,281278,Mitsubishi Heavy Industries,1973
396,651,394027,Virgin Galactic,1960
397,14946,491397,Maxar Technologies,1951
398,31895,336027,KARI,1935
399,3921,497472,CNES,1930
400,25101,100532,Dynetics,1990
401,27888,490555,Aerojet Rocketdyne,1948
402,25298,451792,ITAR Solutions,2025
403,9233,424183,OHB System,1981
404,29243,297173,ESA,1991
405,33132,343880,Fleet Space Technologies,1970
406,11832,175687,Cubic Corporation,1983
407,12665,478367,Aerospace Corporation,1988
408,25826,475805,OneWeb,1909
409,16339,164619,Roscosmos,1932
410,9029,127358,Firefly Rocket Technologies,1954
411,8397,244224,Momentus,1970
412,29323,378392,Space Generation Advisory Council,1943
413,18103,146107,Space Generation Advisory Council,2024
414,27476,433990,Sierra Nevada Corporation,1991
415,11936,191901,United Launch Alliance,2020
416,4577,163460,SpacePharma,1971
417,29763,443776,Boeing Defense,1974
418,26779,240380,ExPace,1900
419,3539,218783,Effective Innovations,1918
420,21513,241562,SpaceX,1984
421,21523,165639,Momentus,1968
422,25741,252519,United Launch Alliance,2017
423,29541,408819,SSL,2006
424,17507,136541,Eutelsat,1961
425,5998,132333,Roscosmos,1982
426,29918,218595,Telesat,1930
427,23367,173349,Made In Space,1966
428,17189,470576,JAXA,1924
429,33790,472131,Relativity,1996
430,36311,182927,CNSA,1929
431,31974,267277,Made In Space,1970
432,16948,492723,Zero Gravity Solutions,1982
433,12539,260329,Fleet Space Technologies,1902
434,9689,439690,University,2009
435,25544,179333,Roscosmos,1997
436,20679,426766,GomSpace,1925
437,26574,459683,Arianespace,1943
438,50,313227,NewSpace Capital,1963
439,25128,466559,Astrocast,2000
440,28033,372813,SpaceX,1923
441,33494,164432,Northrop Grumman,2025
442,20647,159847,Diehl Aerospace,1943
443,6290,374399,Maxar Technologies,1924
444,17002,199886,Momentus,2003
445,7491,445927,Aerospace Corporation,1948
446,27952,288824,Airbus,1980
447,182,171953,Space Generation Advisory Council,2014
448,16066,280359,CNES,1937
449,20169,431952,Harris Corporation,1915
450,3530,414902,Tyvak Nano-Satellite Systems,1930
451,6019,129480,Quantum Space,2025
452,263,431780,Made In Space,1980
453,27098,152444,L3Harris,2013
454,3429,267785,University,1924
455,9819,306863,SSL,1982
456,27908,463847,Interstellar,2015
457,4050,194375,Viasat,1910
458,9384,310976,NSF,2007
459,2785,335483,L3Harris,1945
460,12045,216654,Aerospace Corporation,1912
461,22162,495195,Society of Exploration Geophysicists,1934
462,20784,172586,Northrop Grumman Innovation Systems,1914
463,18253,463514,SpaceX,1925
464,22150,265087,Boeing,2013
465,29991,449521,Vulcan Inc.,2025
466,20533,149858,OneWeb,1993
467,18325,153488,CNES,1979
468,33758,198221,Fleet Space Technologies,1902
469,23999,309731,Space Systems Loral,1984
470,30314,346414,Sierra Nevada Corporation,1963
471,18474,250356,Tyvak Nano-Satellite Systems,1902
472,31660,348886,KARI,1915
473,4948,283461,Paragon Space Development Corporation,2018
474,32676,178253,Aerospace Corporation,2010
475,31409,314635,Astrobotic,1996
476,35319,358673,JAXA,2023
477,22492,467720,ExPace,1953
478,35684,472649,ASI,1970
479,36303,116119,Arianespace,1949
480,35279,315543,University,1980
481,21034,398777,United Launch Alliance,1961
482,29882,190929,Relativity,1951
483,29819,207941,Planet Labs,1927
484,8286,201205,Astrobotic,1919
485,19619,491226,University,2012
486,15305,254777,Rocket Crafters,1911
487,11856,416201,University,2015
488,15460,407500,Planet Labs,1949
489,13272,424408,Orbital ATK,1963
490,13116,191870,Rocket Lab,1991
491,28162,184598,SES,1932
492,23574,435562,United Launch Alliance,2003
493,24492,317701,JAXA,2020
494,9702,229567,Boeing Defense,2024
495,10070,403305,ISRO,2025
496,34816,316102,Kepler Communications,1915
497,1487,328397,Cobham,1971
498,34630,480707,Dynetics,1942
499,22952,111763,ISRO,1997
500,22013,465555,Virgin Galactic,1909
501,17346,254886,ASI,2010
502,17240,137273,Momentus,1945
503,3265,266915,Orbit Fab,1953
504,16190,135069,Vulcan Inc.,1933
505,18798,352244,Raytheon,1932
506,8186,163378,Space Generation Advisory Council,2024
507,23420,424030,KARI,1995
508,9217,448035,ASI,1948
509,34134,198174,NewSpace Capital,1918
510,26790,214210,NewSpace Capital,1926
511,27931,129056,Space Adventures,1912
512,32519,213653,Roscosmos,1991
513,17680,383781,United Launch Alliance,2014
514,23323,409158,Iridium,1902
515,31796,135116,Telesat,1911
516,34388,144384,Planetary Resources,1997
517,13711,150327,Cubic Corporation,1920
518,4079,138491,Raytheon,1928
519,3155,366029,Blue Origin,1938
520,23399,108194,Blue Canyon Technologies,1928
521,19381,499405,Planetary Resources,1917
522,23686,336988,Relativity Space,2003
523,31899,331838,Interstellar,2020
524,31811,401445,OneWeb,1901
525,23668,360823,Blue Origin,1986
526,32650,137872,CNSA,1917
527,27466,304414,Astrocast,1924
528,14428,360151,AeroVironment,1907
529,15540,294801,Space Foundation,1949
530,34631,291907,CNSA,1983
531,34088,425683,Iridium,1979
532,17125,463201,Airbus,1924
533,3662,207368,Lockheed Martin,2006
534,15693,260174,Inmarsat,1987
535,36665,202272,Paragon Space Development Corporation,1916
536,27425,128127,Rocket Crafters,1979
537,9688,202952,Boeing Defense,1925
538,13665,140544,Space Generation Advisory Council,2016
539,7946,195170,Cubic Corporation,1978
540,14564,149848,Space Adventures,2007
541,36983,391935,PLD Space,1956
542,23697,451790,ASI,2011
543,4410,412041,Space Angels,1935
544,11742,257234,Mitsubishi Heavy Industries,1969
545,26242,238943,OHB System,1927
546,26581,446215,Relativity,1917
547,33900,291822,Globalstar,1933
548,31419,262720,Space Adventures,1965
549,11121,110256,Firefly Rocket Technologies,1934
550,25854,329494,Iridium,1986
551,413,238196,Tyvak Nano-Satellite Systems,1927
552,12410,169849,University,1948
553,1566,399583,Northrop Grumman,1936
554,9134,289617,SES,1911
555,34881,488638,Planet Labs,1968
556,27163,287379,Rocket Lab,1967
557,26084,390498,SpaceX,1972
558,2971,342707,Interstellar,2017
559,32814,211551,Astrocast,1906
560,2032,317864,Private,1928
561,4874,103364,OneWeb,2015
562,5595,164042,SpaceIL,2003
563,4829,120879,ExPace,2025
564,28566,466203,SpacePharma,1997
565,4855,467069,Astrocast,2014
566,21435,482381,Blue Origin,1991
567,33840,476566,CNSA,1922
568,26211,135135,ASI,1939
569,32014,426445,The Planetary Society,1978
570,28107,303764,Xplore,1951
571,19784,407415,Private,2011
572,6409,442121,Relativity,2010
573,1377,408912,Diehl Aerospace,1991
574,15658,428872,Zero Gravity Solutions,1988
575,15292,150726,Northrop Grumman Innovation Systems,1965
576,11006,137004,Tyvak Nano-Satellite Systems,2011
577,32806,474675,Axiom Space,1928
578,783,494150,OneWeb,1932
579,12454,387390,United Launch Alliance,1901
580,3224,142113,Hughes,1969
581,9841,339492,SpaceX,1918
582,37588,489044,Fleet Space Technologies,1961
583,19126,159895,Space Adventures,1935
584,9355,180123,Inmarsat,1962
585,16044,347791,ITAR Solutions,1901
586,12874,275670,Vulcan Inc.,1932
587,1791,467206,ITAR Solutions,1921
588,9901,499426,Northrop Grumman,1979
589,25178,269163,Orbit Fab,1941
590,25586,348056,Made In Space,2019
591,16294,229666,Bigelow Aerospace,1916
592,15414,424917,MDA,1927
593,37801,381151,Zero 2 Infinity,2013
594,1377,317795,Northrop Grumman Innovation Systems,1937
595,16073,239109,Exos Aerospace,2014
596,10374,493470,Diehl Aerospace,1937
597,5583,320665,Astrocast,1951
598,32343,231822,Spire Global,2002
599,37988,363180,Virgin Galactic,1913
600,2172,484621,The Planetary Society,1955
601,30406,444961,Iridium,1932
602,29612,244832,Space Adventures,1937
603,34946,140387,Mitsubishi Heavy Industries,1908
604,7430,446328,Private,1998
605,13097,137602,Planetary Resources,1960
606,12572,190965,Lockheed Martin Space,1962
607,18058,189768,Orbcomm,2021
608,21041,355981,Paragon Space Development Corporation,1955
609,9181,193328,Northrop Grumman Innovation Systems,2023
610,10550,471870,Space Systems Loral,1921
611,2621,128444,PLD Space,1910
612,4895,133064,Spire Global,2011
613,25310,140442,NASA,1939
614,35102,498680,Made In Space,1993
615,1105,335896,ExPace,1921
616,28598,494918,SES,1911
617,20724,449543,Astrocast,2007
618,34728,283602,Interstellar,1996
619,19504,268724,General Dynamics,1984
620,31941,445841,Rocket Lab,1903
621,540,320704,Made In Space,1944
622,25669,467480,PLD Space,1954
623,25452,381459,Viasat,1975
624,26342,379784,Bigelow Aerospace,1970
625,20147,284988,Exos Aerospace,2010
626,17265,247695,NSF,1916
627,4663,247026,Made In Space,1925
628,1063,303925,Iridium,1938
629,13680,386464,Axiom Space,1950
630,8629,333165,United Launch Alliance,1952
631,30092,163526,ISRO,2013
632,20918,110504,Orbital ATK,1990
633,9758,197675,Blue Origin,1914
634,14082,402327,SSL,1999
635,13853,192228,Lockheed Martin,1905
636,30975,235962,Aerojet Rocketdyne,1942
637,12650,361712,NSF,2018
638,862,468601,SES,1968
639,37849,447492,Vector Launch,1998
640,3749,427236,Airbus,2010
641,761,396655,Airbus,1995
642,20126,452970,Orbit Fab,2015
643,5476,210109,University,1968
644,5948,199789,Globalstar,2025
645,24896,214927,ESA,2011
646,33504,381794,Iridium,2025
647,269,288859,OHB System,1930
648,12659,472820,Tyvak Nano-Satellite Systems,2013
649,13693,358835,Relativity,1952
650,11988,384333,Northrop Grumman Innovation Systems,1956
651,36050,201574,Axiom Space,1943
652,34632,461162,Axiom Space,2003
653,27936,224436,Lockheed Martin Space,1970
654,16186,369399,Aerospace Corporation,1924
655,28383,459121,Sierra Nevada Corporation,2024
656,13379,420509,ESA,2008
657,5480,250743,SpaceX,1978
658,9400,351234,Interstellar,1944
659,22758,421660,Axiom Space,1960
660,3532,237198,Zero 2 Infinity,1930
661,13923,123943,Boeing Defense,1982
662,31677,214085,Thales Alenia Space,1945
663,9796,409610,Space Generation Advisory Council,1921
664,4695,257506,Blue Origin,1984
665,18365,273282,Maxar Technologies,1990
666,21144,336397,Spire Global,1948
667,31499,425616,Sierra Nevada Corporation,1947
668,4624,365844,SpaceIL,1918
669,966,135684,Space Foundation,2005
670,8219,338417,SES,2013
671,1096,497643,SpaceIL,1923
672,29346,294502,Space Systems Loral,1970
673,35237,247872,Boeing,1929
674,28292,157115,CNSA,1973
675,8544,110460,Eutelsat,1903
676,15875,425886,Vulcan Inc.,1992
677,2809,372314,Northrop Grumman,1972
678,24291,240197,Rocket Lab,1981
679,11511,320109,CNES,2017
680,3622,419046,Space Generation Advisory Council,1917
681,20631,485904,Boeing Defense,1951
682,2695,366667,University,1943
683,20164,479538,SES,1907
684,17403,286610,SES,1906
685,11900,308644,SpaceIL,1915
686,15310,259326,MDA,1952
687,12060,173965,University,1900
688,25344,416134,OHB System,1946
689,7360,302546,NSF,2021
690,5987,423470,SpacePharma,1942
691,37397,426695,General Dynamics,1989
692,4449,335684,Exos Aerospace,1901
693,4077,422326,Diehl Aerospace,1937
694,21116,395019,Exos Aerospace,1909
695,11805,357368,Spire Global,1926
696,512,389105,Lockheed Martin Space,2001
697,21545,122964,Airbus,1992
698,22966,476491,Tyvak Nano-Satellite Systems,1992
699,15516,377007,SpaceIL,2003
700,16228,200487,Boeing Defense,1949
701,30238,294624,Globalstar,1901
702,12229,274157,Kepler Communications,1906
703,30190,186035,Blue Canyon Technologies,1985
704,19693,376924,Tyvak Nano-Satellite Systems,1990
705,32193,213916,Paragon Space Development Corporation,1959
706,27876,377013,Thales Alenia Space,1905
707,35134,161483,Spire Global,2008
708,35404,283371,Orbital ATK,2017
709,32668,353359,Mitsubishi Heavy Industries,1920
710,3451,357660,Intelsat,1965
711,2948,209902,Zero Gravity Solutions,1929
712,16874,440440,Quantum Space,2022
713,31226,279781,Cobham,2012
714,30870,488757,Harris Corporation,1972
715,34052,138403,Axiom Space,2001
716,31290,226488,Lockheed Martin Space,1967
717,22703,106371,Blue Canyon Technologies,1909
718,3180,408204,Airbus,1930
719,20534,142338,OneWeb,1981
720,27472,305028,Lockheed Martin Space,1979
721,36679,422065,Zero Gravity Solutions,1941
722,30139,404756,Made In Space,1928
723,16761,201748,Zero Gravity Solutions,1921
724,3664,432360,L3Harris,1920
725,35998,142352,Viasat,1911
726,19202,451744,SSL,1915
727,31358,106970,Exos Aerospace,1988
728,30395,332478,Lockheed Martin,1945
729,1841,290407,SES,2016
730,18341,386379,Astrobotic,1953
731,34566,347963,The Planetary Society,2014
732,15869,447059,Raytheon,1996
733,9095,140934,Firefly Rocket Technologies,1960
734,28450,234247,Aerospace Corporation,1949
735,1214,379071,Kepler Communications,1952
736,22701,453756,Society of Exploration Geophysicists,1976
737,6635,271015,Intelsat,1918
738,12678,145743,NSF,2022
739,26103,373119,Blue Canyon Technologies,1926
740,32994,296632,Space Systems Loral,1930
741,2911,345364,Axiom Space,1900
742,26298,303992,ASI,1905
743,34748,310273,Society of Exploration Geophysicists,1901
744,18474,392017,Vulcan Inc.,2002
745,9914,488321,Effective Innovations,1998
746,26888,327467,SpaceX,1900
747,5529,257006,Eutelsat,2009
748,21540,483917,ISRO,1911
749,23111,115919,Intelsat,1982
750,2850,340498,Society of Exploration Geophysicists,1952
751,12800,438848,ASI,1945
752,25982,466815,Telesat,1970
753,35907,447526,ESA,1958
754,12932,394460,Quantum Space,1955
