institution_id,institution_name,institution_country
380,National Institute of Geoscience,Finland
381,Center for Advanced Space Exploration,Netherlands
382,National Institute of Geology,Netherlands
383,College of Astronomy,Netherlands
384,Academy of Geology,USA
385,University of Geology,Sweden
386,International Lab for Geoscience,Finland
387,Center for Advanced Geoscience,Germany
388,Royal Institute of Meteorite Studies,Germany
389,Global Research Center of Cosmic Research,Austria
390,Royal Institute of Astrophysics,Austria
391,Academy of Geology,Netherlands
392,International Lab for Geoscience,France
393,College of Astrophysics,Denmark
394,College of Astrophysics,Spain
395,Center for Advanced Astrophysics,Norway
396,National Institute of Space Exploration,Norway
397,Royal Institute of Cosmic Research,Italy
398,Global Research Center of Geology,Germany
399,National Institute of Geoscience,Germany
400,International Lab for Geoscience,Italy
401,Global Research Center of Geochemistry,UK
402,Royal Institute of Geoscience,Norway
403,Royal Institute of Astrophysics,UK
404,Academy of Cosmic Research,Italy
405,National Institute of Geochemistry,Japan
406,Global Research Center of Geology,China
407,National Institute of Space Exploration,Belgium
408,Royal Institute of Geoscience,India
409,College of Astrophysics,Belgium
410,University of Cosmic Research,USA
411,Global Research Center of Cosmic Research,Brazil
412,Royal Institute of Space Exploration,USA
413,Global Research Center of Meteorite Studies,Switzerland
414,International Lab for Geoscience,Canada
415,University of Geoscience,Netherlands
416,College of Astrophysics,Norway
417,Center for Advanced Space Exploration,Australia
418,Royal Institute of Cosmic Research,Spain
419,National Institute of Astronomy,Canada
420,Global Research Center of Astronomy,Germany
421,Academy of Geology,Norway
422,Center for Advanced Geology,Norway
423,Academy of Planetary Science,Netherlands
424,National Institute of Space Exploration,Norway
425,National Institute of Cosmic Research,Switzerland
426,Center for Advanced Geochemistry,Brazil
427,University of Planetary Science,Sweden
428,University of Astronomy,Japan
429,Academy of Planetary Science,Canada
430,Academy of Cosmic Research,Spain
431,National Institute of Astronomy,Finland
432,International Lab for Meteorite Studies,Canada
433,International Lab for Geochemistry,China
434,Royal Institute of Geoscience,Sweden
435,University of Astrophysics,USA
436,Center for Advanced Geoscience,Spain
437,International Lab for Astrophysics,Norway
438,Academy of Geoscience,Sweden
439,University of Space Exploration,Australia
440,Center for Advanced Space Exploration,Germany
441,International Lab for Geoscience,China
442,International Lab for Astrophysics,Netherlands
443,National Institute of Astrophysics,Brazil
444,Royal Institute of Planetary Science,Spain
445,Global Research Center of Geoscience,Netherlands
446,National Institute of Geochemistry,Netherlands
447,College of Space Exploration,Italy
448,Global Research Center of Planetary Science,France
449,Global Research Center of Cosmic Research,Japan
450,Global Research Center of Meteorite Studies,Germany
451,Global Research Center of Geology,Denmark
452,Center for Advanced Space Exploration,Spain
453,Global Research Center of Geology,Germany
454,Center for Advanced Geology,Brazil
455,Academy of Astronomy,Italy
456,National Institute of Cosmic Research,Denmark
457,Center for Advanced Astronomy,UK
458,Royal Institute of Cosmic Research,Germany
459,National Institute of Geochemistry,Sweden
460,Center for Advanced Geochemistry,UK
461,Center for Advanced Planetary Science,Spain
462,Center for Advanced Geochemistry,Canada
463,University of Geology,France
464,Royal Institute of Geoscience,Netherlands
465,Global Research Center of Astronomy,China
466,Center for Advanced Geology,Netherlands
467,Global Research Center of Space Exploration,Italy
468,Academy of Astrophysics,Norway
469,Royal Institute of Astronomy,Spain
470,National Institute of Space Exploration,France
471,International Lab for Cosmic Research,India
472,Global Research Center of Space Exploration,Germany
473,Global Research Center of Space Exploration,Brazil
474,International Lab for Meteorite Studies,Austria
475,National Institute of Cosmic Research,Belgium
476,International Lab for Space Exploration,Canada
477,National Institute of Astrophysics,Netherlands
478,Royal Institute of Astronomy,Italy
479,Academy of Meteorite Studies,Japan
480,Royal Institute of Geology,Japan
481,College of Meteorite Studies,Canada
482,National Institute of Cosmic Research,France
483,University of Space Exploration,Austria
484,Global Research Center of Astrophysics,Canada
485,Global Research Center of Meteorite Studies,Austria
486,Global Research Center of Geology,UK
487,International Lab for Space Exploration,China
488,Center for Advanced Cosmic Research,Denmark
489,College of Geochemistry,China
490,Academy of Geology,Japan
491,Royal Institute of Geology,Denmark
492,Academy of Astrophysics,Netherlands
493,International Lab for Meteorite Studies,Japan
494,Global Research Center of Cosmic Research,UK
495,Center for Advanced Space Exploration,Belgium
496,National Institute of Geochemistry,France
497,Academy of Geoscience,Australia
498,Academy of Geology,Netherlands
499,Global Research Center of Astrophysics,Germany
500,College of Geology,Italy
501,University of Astrophysics,UK
502,International Lab for Geochemistry,Italy
503,College of Astrophysics,Germany
504,Royal Institute of Planetary Science,USA
505,Royal Institute of Geoscience,Spain
506,Global Research Center of Meteorite Studies,UK
507,Academy of Geology,Canada
508,Center for Advanced Geology,Austria
509,University of Geoscience,USA
510,Academy of Planetary Science,Canada
511,International Lab for Geoscience,Brazil
512,College of Cosmic Research,France
513,University of Planetary Science,Norway
514,Center for Advanced Geoscience,France
515,Center for Advanced Geochemistry,USA
516,College of Meteorite Studies,Brazil
517,International Lab for Astronomy,Austria
518,Royal Institute of Planetary Science,Switzerland
519,International Lab for Meteorite Studies,Germany
520,Royal Institute of Geoscience,Netherlands
521,University of Astrophysics,Finland
522,University of Astrophysics,Italy
523,Academy of Astronomy,Italy
524,National Institute of Space Exploration,China
525,National Institute of Space Exploration,Canada
526,University of Space Exploration,Belgium
527,Royal Institute of Meteorite Studies,Denmark
528,Center for Advanced Meteorite Studies,Canada
529,National Institute of Geology,UK
530,Academy of Planetary Science,UK
531,College of Astronomy,Spain
532,Academy of Geochemistry,Sweden
533,Center for Advanced Cosmic Research,UK
534,College of Cosmic Research,Italy
535,University of Space Exploration,India
536,National Institute of Space Exploration,Norway
537,International Lab for Geology,Sweden
538,Royal Institute of Meteorite Studies,Finland
539,Center for Advanced Space Exploration,Netherlands
540,Academy of Geoscience,Norway
541,National Institute of Astrophysics,Austria
542,Global Research Center of Geochemistry,Brazil
543,Royal Institute of Geoscience,Germany
544,Royal Institute of Cosmic Research,Brazil
545,Center for Advanced Astrophysics,Australia
546,Center for Advanced Space Exploration,Denmark
547,University of Space Exploration,Austria
548,International Lab for Cosmic Research,UK
549,National Institute of Astrophysics,Italy
550,Global Research Center of Astronomy,Canada
551,Center for Advanced Astronomy,Canada
552,National Institute of Planetary Science,Italy
553,Royal Institute of Astrophysics,Switzerland
554,University of Meteorite Studies,Denmark
555,Royal Institute of Space Exploration,Denmark
556,National Institute of Meteorite Studies,Netherlands
557,Royal Institute of Astrophysics,Spain
558,Academy of Planetary Science,France
559,University of Meteorite Studies,Finland
560,International Lab for Geochemistry,France
561,Academy of Cosmic Research,Denmark
562,College of Cosmic Research,Finland
563,College of Geoscience,Canada
564,National Institute of Geology,Australia
565,Center for Advanced Geoscience,Spain
566,Royal Institute of Geoscience,Belgium
567,Academy of Cosmic Research,Australia
568,Global Research Center of Space Exploration,Netherlands
569,College of Geoscience,Japan
570,Global Research Center of Planetary Science,Finland
571,University of Space Exploration,Belgium
572,Royal Institute of Geology,Belgium
573,Global Research Center of Geoscience,Germany
574,Academy of Astrophysics,Finland
575,International Lab for Astrophysics,Switzerland
576,National Institute of Meteorite Studies,Spain
577,National Institute of Geology,Denmark
578,Royal Institute of Meteorite Studies,Belgium
579,Global Research Center of Meteorite Studies,Norway
580,University of Geoscience,Netherlands
581,Global Research Center of Cosmic Research,Australia
582,Global Research Center of Space Exploration,China
583,Royal Institute of Geochemistry,Brazil
584,National Institute of Cosmic Research,Japan
585,Academy of Meteorite Studies,Brazil
586,National Institute of Geochemistry,Australia
587,Global Research Center of Meteorite Studies,Austria
588,Royal Institute of Astronomy,USA
589,National Institute of Astronomy,Switzerland
590,Academy of Planetary Science,Switzerland
591,International Lab for Astronomy,Finland
592,Academy of Cosmic Research,Finland
593,College of Astrophysics,Brazil
594,Center for Advanced Geoscience,UK
595,Global Research Center of Geology,Norway
596,Center for Advanced Geology,Japan
597,Royal Institute of Meteorite Studies,Spain
598,Royal Institute of Space Exploration,Sweden
599,Global Research Center of Space Exploration,Netherlands
600,National Institute of Space Exploration,China
601,Center for Advanced Geoscience,India
602,Center for Advanced Planetary Science,Canada
603,National Institute of Astronomy,Brazil
604,International Lab for Astrophysics,China
605,Global Research Center of Space Exploration,Switzerland
606,Royal Institute of Planetary Science,Australia
607,Center for Advanced Geochemistry,Denmark
608,Center for Advanced Cosmic Research,Finland
609,University of Geoscience,Sweden
610,Center for Advanced Planetary Science,Japan
611,Royal Institute of Astronomy,UK
612,Academy of Geology,Austria
613,Center for Advanced Cosmic Research,Belgium
614,University of Geoscience,Norway
615,Global Research Center of Cosmic Research,Italy
616,International Lab for Space Exploration,UK
617,International Lab for Astronomy,Switzerland
618,College of Space Exploration,Belgium
619,Academy of Geoscience,Sweden
620,Center for Advanced Geochemistry,India
621,National Institute of Meteorite Studies,France
622,International Lab for Space Exploration,Spain
623,Royal Institute of Meteorite Studies,Japan
624,International Lab for Geochemistry,UK
625,University of Astronomy,Canada
626,Royal Institute of Geology,Netherlands
627,Center for Advanced Meteorite Studies,Austria
628,Global Research Center of Space Exploration,Austria
629,Royal Institute of Meteorite Studies,Sweden
630,Academy of Space Exploration,Netherlands
631,Center for Advanced Cosmic Research,Finland
632,University of Space Exploration,Spain
633,National Institute of Astrophysics,Switzerland
634,Academy of Astronomy,Austria
635,Center for Advanced Cosmic Research,Switzerland
636,College of Astronomy,Switzerland
637,Center for Advanced Meteorite Studies,Netherlands
638,International Lab for Meteorite Studies,China
639,University of Geoscience,Japan
640,University of Geology,Spain
641,International Lab for Meteorite Studies,Norway
642,College of Astrophysics,Netherlands
643,Center for Advanced Astronomy,Canada
644,College of Geochemistry,Spain
645,Center for Advanced Geochemistry,Sweden
646,Royal Institute of Meteorite Studies,Denmark
647,Royal Institute of Geochemistry,Italy
648,Academy of Geology,Japan
649,College of Cosmic Research,Belgium
650,Academy of Planetary Science,Brazil
651,Academy of Planetary Science,Finland
652,Royal Institute of Geology,Italy
653,Academy of Cosmic Research,France
654,International Lab for Astrophysics,Italy
655,Global Research Center of Cosmic Research,UK
656,Academy of Geoscience,Italy
657,Center for Advanced Cosmic Research,Finland
658,College of Planetary Science,Belgium
659,Academy of Geochemistry,India
660,Global Research Center of Geoscience,Austria
661,College of Planetary Science,UK
662,College of Planetary Science,UK
663,National Institute of Astrophysics,Spain
664,Center for Advanced Geoscience,Canada
665,University of Geochemistry,Australia
666,International Lab for Geology,Finland
667,College of Cosmic Research,Spain
668,Academy of Astronomy,Germany
669,College of Geochemistry,UK
670,Global Research Center of Astrophysics,Australia
671,University of Astrophysics,Finland
672,Global Research Center of Cosmic Research,UK
673,University of Cosmic Research,Switzerland
674,National Institute of Space Exploration,Brazil
675,Center for Advanced Geochemistry,Netherlands
676,Center for Advanced Meteorite Studies,Netherlands
677,Center for Advanced Cosmic Research,Japan
678,National Institute of Space Exploration,Australia
679,Center for Advanced Cosmic Research,Australia
680,University of Space Exploration,Brazil
681,College of Meteorite Studies,Austria
682,International Lab for Astrophysics,Netherlands
683,Royal Institute of Geoscience,Sweden
684,National Institute of Meteorite Studies,Canada
685,Center for Advanced Space Exploration,China
686,University of Cosmic Research,Sweden
687,College of Geology,India
688,Royal Institute of Cosmic Research,Switzerland
689,University of Cosmic Research,Italy
690,College of Astronomy,France
691,Center for Advanced Cosmic Research,Australia
692,International Lab for Geochemistry,Brazil
693,National Institute of Cosmic Research,Italy
694,College of Planetary Science,Canada
695,Center for Advanced Meteorite Studies,Denmark
696,Royal Institute of Astrophysics,Belgium
697,Center for Advanced Geochemistry,Japan
698,College of Geoscience,Netherlands
699,Center for Advanced Geochemistry,Italy
700,National Institute of Geoscience,UK
701,College of Geochemistry,Canada
702,Global Research Center of Space Exploration,Netherlands
703,Center for Advanced Geoscience,Japan
704,Center for Advanced Geoscience,Netherlands
705,Center for Advanced Astronomy,Denmark
706,Global Research Center of Geochemistry,Norway
707,Center for Advanced Astronomy,Belgium
708,Center for Advanced Cosmic Research,USA
709,International Lab for Cosmic Research,USA
710,College of Geoscience,UK
711,International Lab for Space Exploration,Germany
712,University of Geoscience,Finland
713,University of Cosmic Research,Norway
714,Global Research Center of Meteorite Studies,Norway
715,Royal Institute of Astrophysics,Denmark
716,International Lab for Astrophysics,Germany
717,Global Research Center of Space Exploration,France
718,Global Research Center of Geochemistry,Sweden
719,Global Research Center of Planetary Science,USA
720,University of Cosmic Research,Denmark
721,International Lab for Geochemistry,Sweden
722,College of Planetary Science,Denmark
723,Royal Institute of Meteorite Studies,India
724,College of Geoscience,UK
725,International Lab for Astronomy,China
726,College of Geoscience,France
727,University of Geology,Austria
728,University of Planetary Science,UK
729,International Lab for Geology,China
730,College of Astronomy,Canada
731,Academy of Planetary Science,Switzerland
732,Royal Institute of Space Exploration,China
733,Academy of Meteorite Studies,Netherlands
734,College of Astrophysics,Brazil
735,Academy of Astronomy,Belgium
736,Global Research Center of Astrophysics,Belgium
737,Center for Advanced Astronomy,Italy
738,International Lab for Geochemistry,Spain
739,International Lab for Astrophysics,Canada
740,Academy of Astrophysics,Australia
741,Center for Advanced Planetary Science,China
742,Academy of Meteorite Studies,Denmark
743,University of Geochemistry,Norway
744,International Lab for Geochemistry,Netherlands
745,Global Research Center of Astrophysics,China
746,Academy of Planetary Science,Spain
747,National Institute of Geology,Italy
748,National Institute of Geochemistry,Japan
749,University of Cosmic Research,Sweden
750,University of Geoscience,Japan
751,College of Geology,Japan
752,Royal Institute of Cosmic Research,USA
753,College of Planetary Science,France
754,Center for Advanced Planetary Science,Austria
755,College of Astrophysics,China
756,Royal Institute of Cosmic Research,Sweden
757,Center for Advanced Geochemistry,Italy
758,Academy of Cosmic Research,Italy
759,Center for Advanced Geology,France
760,Center for Advanced Space Exploration,Japan
761,Royal Institute of Space Exploration,Norway
762,University of Planetary Science,Canada
763,University of Cosmic Research,Belgium
764,International Lab for Cosmic Research,Canada
765,College of Space Exploration,China
766,International Lab for Planetary Science,Finland
767,Royal Institute of Cosmic Research,Finland
768,Center for Advanced Geology,Australia
769,Royal Institute of Meteorite Studies,Canada
770,Center for Advanced Meteorite Studies,Belgium
771,University of Geochemistry,UK
772,National Institute of Astronomy,USA
773,International Lab for Meteorite Studies,China
774,National Institute of Meteorite Studies,USA
775,College of Geochemistry,Denmark
776,Royal Institute of Astronomy,Austria
777,Center for Advanced Geology,USA
778,University of Geochemistry,Belgium
779,International Lab for Astronomy,USA
780,Academy of Geochemistry,Brazil
781,University of Geochemistry,Norway
782,Global Research Center of Geoscience,France
783,Global Research Center of Planetary Science,Japan
784,Academy of Space Exploration,India
785,International Lab for Geoscience,Italy
786,International Lab for Geology,Switzerland
787,College of Planetary Science,Brazil
788,National Institute of Astronomy,Germany
