paper_id,scientist_id,title,journal_name,publication_date
109,37292,New Insights into Meteorite #21983,Cosmology and Space Science,2009-05-22
110,31900,New Insights into Meteorite #12787,Journal of Stellar Evolution,2013-12-20
111,2959,New Insights into Meteorite #37982,Advances in Astronomy,2001-08-29
112,27646,New Insights into Meteorite #43792,Cosmic Exploration Journal,2024-08-27
113,30958,New Insights into Meteorite #39788,Journal of Solar Research,2013-02-21
114,17680,New Insights into Meteorite #45157,Astrogeology Journal,2008-07-30
115,21800,New Insights into Meteorite #16134,International Journal of Astronomy,2007-11-16
116,21091,New Insights into Meteorite #3045,Interstellar Astronomy,2022-04-07
117,4560,New Insights into Meteorite #15459,Space and Time Journal,2015-06-13
118,10275,New Insights into Meteorite #23024,Journal of Cosmic Rays,2004-05-05
119,31052,New Insights into Meteorite #21879,Cosmic Evolution Review,2000-07-31
120,3184,New Insights into Meteorite #19903,Journal of Space and Astronomy,2003-09-23
121,10179,New Insights into Meteorite #32879,Cosmochemistry and Planetary Materials,2007-07-29
122,25305,New Insights into Meteorite #25779,Cosmic Horizons Journal,2015-07-06
123,13154,New Insights into Meteorite #20558,Journal of Astrostatistics,2006-06-24
124,37241,New Insights into Meteorite #5564,Journal of Cosmic Chemistry,2014-04-11
125,11736,New Insights into Meteorite #36339,Planetary Science and Exploration,2016-07-17
126,25128,New Insights into Meteorite #24077,Journal of Space Exploration,2007-04-11
127,2515,New Insights into Meteorite #1736,Astrobiology Reviews,2001-06-29
128,729,New Insights into Meteorite #33584,Journal of Cosmic Investigations,2008-05-24
129,29746,New Insights into Meteorite #8881,Journal of Astrophysical Phenomena,2007-07-09
130,27738,New Insights into Meteorite #17842,Journal of Planetary Science,2016-09-13
131,25118,New Insights into Meteorite #30387,Journal of Astronomical Instrumentation,2018-08-07
132,4792,New Insights into Meteorite #38292,Journal of Astrophysics,2012-06-22
133,35184,New Insights into Meteorite #6378,Journal of Solar and Stellar Studies,2025-10-29
134,4528,New Insights into Meteorite #11737,Cosmology and Gravitation,2002-06-06
135,32623,New Insights into Meteorite #13347,Journal of Astrophysical Techniques,2020-08-26
136,3928,New Insights into Meteorite #6119,Journal of Astronomical Instrumentation,2019-06-24
137,1127,New Insights into Meteorite #23725,Astronomical Research and Reviews,2016-11-01
138,1509,New Insights into Meteorite #26244,Astronomy and Astrophysics,2005-06-29
139,17946,New Insights into Meteorite #23881,Astrochemistry Journal,2023-02-03
140,15068,New Insights into Meteorite #2571,Galactic Astronomy,2015-01-25
141,32248,New Insights into Meteorite #38810,Journal of Cosmic Chemistry,2025-10-10
142,29334,New Insights into Meteorite #39466,International Journal of Space Exploration,2013-08-31
143,12418,New Insights into Meteorite #3563,Astronomical Research and Reviews,2003-01-02
144,3938,New Insights into Meteorite #38323,Journal of Cosmic Chemistry,2015-03-03
145,17135,New Insights into Meteorite #29562,Astronomy Research Journal,2000-02-13
146,10671,New Insights into Meteorite #41899,Space Science and Technology,2003-09-29
147,28726,New Insights into Meteorite #508,Journal of Celestial Observations,2021-08-05
148,38074,New Insights into Meteorite #42853,Journal of Solar Research,2011-05-12
149,8665,New Insights into Meteorite #28428,Advances in Cosmic Studies,2019-05-26
150,9643,New Insights into Meteorite #49891,Galactic Astronomy,2005-06-03
151,19437,New Insights into Meteorite #43950,Journal of Cosmic Phenomena,2014-11-19
152,28081,New Insights into Meteorite #12962,Journal of Meteorites,2023-04-05
153,16269,New Insights into Meteorite #38494,Space Science and Exploration,2008-07-19
154,22611,New Insights into Meteorite #28472,Journal of Cosmic Origins,2021-02-15
155,37097,New Insights into Meteorite #35429,International Journal of Space Exploration,2015-08-16
156,27526,New Insights into Meteorite #6299,Galactic Science Journal,2010-11-17
157,19914,New Insights into Meteorite #32141,Cosmology and Space Science,2020-01-01
158,5749,New Insights into Meteorite #44544,Journal of Cosmic Rays,2016-09-28
159,3721,New Insights into Meteorite #18675,Journal of Cosmic Rays,2017-05-09
160,34950,New Insights into Meteorite #4744,Astronomy Research Journal,2006-07-13
161,9740,New Insights into Meteorite #19878,Journal of Celestial Mechanics,2025-06-10
162,28294,New Insights into Meteorite #36055,Journal of Space Exploration and Research,2013-11-30
163,32232,New Insights into Meteorite #36330,Space and Universe Journal,2008-02-05
164,25324,New Insights into Meteorite #14686,Journal of Celestial Mechanics,2019-12-31
165,37765,New Insights into Meteorite #19311,Journal of Cosmological Studies,2002-05-22
166,1472,New Insights into Meteorite #29664,Cosmic Exploration Journal,2015-12-02
167,26862,New Insights into Meteorite #38893,International Journal of Space Exploration,2000-12-22
168,13582,New Insights into Meteorite #5195,Journal of Planetary Atmospheres,2012-01-02
169,24212,New Insights into Meteorite #33735,Intergalactic Studies,2008-04-02
170,30005,New Insights into Meteorite #42410,Interstellar Astronomy,2023-04-02
171,5637,New Insights into Meteorite #42593,Journal of Celestial Mechanics,2017-04-26
172,16946,New Insights into Meteorite #19171,Stellar Astronomy Journal,2024-03-20
173,11130,New Insights into Meteorite #4210,Journal of Space Engineering,2017-09-14
174,31965,New Insights into Meteorite #16295,Journal of Meteorites,2019-02-23
175,25261,New Insights into Meteorite #46486,Journal of Modern Astronomy,2013-12-07
176,186,New Insights into Meteorite #42648,Astrophysical Journal Letters,2009-03-25
177,14735,New Insights into Meteorite #22815,Astrophysics Reports,2007-01-14
178,4807,New Insights into Meteorite #44065,Journal of Astrophysical Techniques,2012-01-06
179,16529,New Insights into Meteorite #22646,Astroinformatics Journal,2011-09-25
180,13061,New Insights into Meteorite #34966,Journal of Planetary Atmospheres,2008-06-21
181,33317,New Insights into Meteorite #13800,Astrophysical Methods,2004-10-27
182,6905,New Insights into Meteorite #24350,Nature,2025-04-11
183,13361,New Insights into Meteorite #49934,Journal of Advanced Astronomy,2003-08-22
184,14901,New Insights into Meteorite #10279,Astrophysical Journal,2007-12-05
185,27949,New Insights into Meteorite #4869,Journal of Astrophysical Phenomena,2024-09-04
186,27096,New Insights into Meteorite #45056,Journal of Interstellar Studies,2005-03-06
187,29441,New Insights into Meteorite #6531,Space Science Reviews,2023-06-04
188,13595,New Insights into Meteorite #29771,Astrophysical Research Letters,2008-11-10
189,15429,New Insights into Meteorite #12241,Space Science and Exploration,2003-09-10
190,31436,New Insights into Meteorite #5996,Astrobiology Reviews,2022-06-18
191,24570,New Insights into Meteorite #4659,Journal of Cosmic Energy,2000-06-30
192,30212,New Insights into Meteorite #25541,Advances in Planetary Science,2001-02-19
193,25850,New Insights into Meteorite #19799,Space and Beyond Journal,2002-03-14
194,8941,New Insights into Meteorite #3280,Journal of Celestial Phenomena,2010-10-13
195,7296,New Insights into Meteorite #26167,Space Science and Technology,2019-02-25
196,18626,New Insights into Meteorite #26809,Science,2021-08-25
197,24420,New Insights into Meteorite #39210,International Journal of Astronomy,2014-01-15
198,140,New Insights into Meteorite #6871,Journal of Exoplanet Studies,2000-08-09
199,13006,New Insights into Meteorite #37200,Journal of Cosmic Rays,2002-05-29
200,27974,New Insights into Meteorite #37306,Interstellar Research Letters,2003-04-15
201,5404,New Insights into Meteorite #22551,Cosmochemistry and Planetary Materials,2024-11-19
202,35962,New Insights into Meteorite #22081,Journal of Space and Astronomy,2001-03-17
203,37983,New Insights into Meteorite #43716,Astrophysics Reports,2013-01-21
204,3570,New Insights into Meteorite #49495,Journal of Solar and Stellar Studies,2007-09-07
205,20536,New Insights into Meteorite #14726,Exoplanet Research Journal,2015-09-19
206,29936,New Insights into Meteorite #35225,Journal of Cosmic Energy,2022-02-04
207,36457,New Insights into Meteorite #16407,Astrophysics and Space Science,2015-04-28
208,6609,New Insights into Meteorite #15358,Cosmic Research Journal,2023-04-10
209,4830,New Insights into Meteorite #13912,Journal of Cosmic Rays,2025-08-04
210,21071,New Insights into Meteorite #23033,Journal of Deep Space Research,2006-12-07
211,13063,New Insights into Meteorite #31587,Journal of Stellar Evolution,2015-03-22
212,29404,New Insights into Meteorite #7814,Space and Beyond Journal,2020-09-06
213,4242,New Insights into Meteorite #14280,Journal of Planetary Systems,2016-11-01
214,27850,New Insights into Meteorite #2022,International Journal of Astrophysics,2018-02-12
215,35779,New Insights into Meteorite #17678,Advances in Astronomy,2005-01-24
216,18032,New Insights into Meteorite #44591,Exoplanet Research Journal,2021-01-24
217,32142,New Insights into Meteorite #4262,Cosmic Research Journal,2002-11-18
218,29751,New Insights into Meteorite #18107,Journal of Interstellar Studies,2010-06-25
219,22061,New Insights into Meteorite #25218,Astrophysical Research Letters,2002-12-02
220,18153,New Insights into Meteorite #46310,Cosmology Today,2025-11-11
221,10302,New Insights into Meteorite #29757,Interstellar Research Letters,2006-09-08
222,3329,New Insights into Meteorite #12616,Journal of Cosmic Energy,2005-01-07
223,32362,New Insights into Meteorite #2325,Advances in Planetary Science,2017-11-24
224,9536,New Insights into Meteorite #21601,Geochimica et Cosmochimica Acta,2007-05-08
225,6526,New Insights into Meteorite #25018,Journal of Planetary Atmospheres,2010-09-21
226,30793,New Insights into Meteorite #33978,Journal of Celestial Mechanics,2007-04-10
227,24404,New Insights into Meteorite #36449,Journal of Astronomical Instrumentation,2008-04-09
228,19562,New Insights into Meteorite #48558,Astrophysical Methods,2011-10-15
229,18533,New Insights into Meteorite #40413,Journal of Cosmology,2003-05-24
230,9073,New Insights into Meteorite #20749,Advances in Space Research,2001-03-24
231,31897,New Insights into Meteorite #22247,Journal of Space Exploration and Research,2022-01-16
232,16758,New Insights into Meteorite #2471,Journal of Exoplanet Studies,2014-04-06
233,3420,New Insights into Meteorite #835,Astronomical Research and Reviews,2001-10-21
234,13800,New Insights into Meteorite #28110,International Journal of Astronomy,2011-08-23
235,21006,New Insights into Meteorite #15329,Journal of Astrophysical Phenomena,2004-10-09
236,194,New Insights into Meteorite #14738,Planetary Science and Exploration,2001-01-23
237,9124,New Insights into Meteorite #21890,Space Science and Exploration,2000-10-04
238,13278,New Insights into Meteorite #9514,Advances in Space Research,2014-02-27
239,8619,New Insights into Meteorite #14194,Astrophysics Reports,2025-03-30
240,6758,New Insights into Meteorite #14929,Space and Time Journal,2005-06-04
241,2641,New Insights into Meteorite #29784,Journal of Planetary Climates,2012-10-24
242,10308,New Insights into Meteorite #28447,Journal of Celestial Observations,2014-05-08
243,14921,New Insights into Meteorite #9611,Science,2009-09-27
244,14440,New Insights into Meteorite #8376,Cosmic Horizons Journal,2002-11-23
245,26555,New Insights into Meteorite #439,Exoplanet Research Journal,2002-05-12
246,12535,New Insights into Meteorite #20071,Journal of Space and Time,2003-01-29
247,23865,New Insights into Meteorite #19068,International Journal of Space Science,2005-03-03
248,22192,New Insights into Meteorite #40137,Journal of Cosmic Investigations,2025-07-04
249,20295,New Insights into Meteorite #11619,International Journal of Space Science,2011-07-17
250,32332,New Insights into Meteorite #14384,Journal of Stellar Dynamics,2001-06-17
251,31001,New Insights into Meteorite #1220,Journal of Exoplanet Studies,2002-10-12
252,24305,New Insights into Meteorite #39338,Journal of Planetary Systems,2015-03-10
253,8367,New Insights into Meteorite #34234,Journal of Astronomical Sciences,2024-04-29
254,6725,New Insights into Meteorite #48346,Journal of Planetary Science,2013-12-20
255,13269,New Insights into Meteorite #43435,Journal of Universe Studies,2018-10-06
256,18757,New Insights into Meteorite #39811,Journal of Interstellar Studies,2008-01-06
257,29994,New Insights into Meteorite #7123,Journal of Cosmic Phenomena,2017-07-31
258,4601,New Insights into Meteorite #27547,Cosmology and Gravitation,2002-01-25
259,10512,New Insights into Meteorite #46691,Advances in Interstellar Studies,2008-04-17
260,16092,New Insights into Meteorite #47561,Advances in Interstellar Studies,2002-06-30
261,28307,New Insights into Meteorite #13488,Solar Physics Journal,2009-02-17
262,3390,New Insights into Meteorite #31505,Space and Time Journal,2000-09-17
263,79,New Insights into Meteorite #2341,Journal of Astrostatistics,2022-04-09
264,4965,New Insights into Meteorite #655,Journal of Cosmic Evolution,2003-10-05
265,24066,New Insights into Meteorite #28941,Advances in Interstellar Studies,2010-10-01
266,25455,New Insights into Meteorite #25981,Journal of Planetary Atmospheres,2020-11-28
267,26573,New Insights into Meteorite #18072,Stellar Astronomy Journal,2005-09-02
268,10387,New Insights into Meteorite #46855,Solar Physics Journal,2016-06-29
269,19048,New Insights into Meteorite #42910,Cosmic Exploration Journal,2002-09-08
270,37971,New Insights into Meteorite #31038,Advances in Space Research,2018-03-27
271,11485,New Insights into Meteorite #4795,Journal of Space Exploration,2003-11-03
272,7592,New Insights into Meteorite #38240,Interstellar Research Letters,2013-09-05
273,4202,New Insights into Meteorite #26522,Cosmochemistry and Planetary Materials,2017-05-25
274,19040,New Insights into Meteorite #39303,Planetary Science and Exploration,2004-06-02
275,26089,New Insights into Meteorite #14213,Intergalactic Studies,2024-03-04
276,33478,New Insights into Meteorite #21145,Journal of Space and Time,2023-03-11
277,2435,New Insights into Meteorite #21179,Journal of Deep Space Research,2000-06-09
278,29826,New Insights into Meteorite #17681,Journal of Planetary Climates,2021-04-21
279,23990,New Insights into Meteorite #41176,Journal of Planetary Systems,2006-03-26
280,19393,New Insights into Meteorite #48768,Journal of Astrophysical Phenomena,2006-10-04
281,22487,New Insights into Meteorite #8109,Journal of Universe Studies,2014-12-22
282,21773,New Insights into Meteorite #9410,Journal of Celestial Phenomena,2025-05-28
283,8180,New Insights into Meteorite #29028,Space Science Insights,2008-03-31
284,14401,New Insights into Meteorite #43044,"Space, Stars, and Galaxies",2017-10-30
285,37772,New Insights into Meteorite #31640,Cosmic Research Journal,2000-10-28
286,21341,New Insights into Meteorite #25592,Journal of Deep Space Research,2008-04-22
287,9007,New Insights into Meteorite #42453,Journal of Astronomical Observations,2005-10-30
288,5440,New Insights into Meteorite #41545,Astrochemistry Journal,2006-10-18
289,619,New Insights into Meteorite #17735,Journal of Space Exploration and Research,2005-06-19
290,33755,New Insights into Meteorite #27624,Astrophysical Journal,2003-08-28
291,19178,New Insights into Meteorite #9934,Journal of Astrophysical Techniques,2003-06-03
292,9847,New Insights into Meteorite #49931,Journal of Stellar Evolution,2012-12-14
293,4733,New Insights into Meteorite #24808,Journal of Space Physics,2018-09-30
294,4761,New Insights into Meteorite #20073,Astrophysics Reports,2002-10-11
295,16469,New Insights into Meteorite #26400,Journal of Astrostatistics,2020-09-01
296,19652,New Insights into Meteorite #6184,Journal of Planetary Systems,2003-05-05
297,18506,New Insights into Meteorite #26323,Astrophysical Journal Letters,2013-03-09
298,37468,New Insights into Meteorite #44854,Astrophysics and Space Science,2012-09-30
299,21627,New Insights into Meteorite #44849,Journal of Cosmic Phenomena,2005-02-22
300,34717,New Insights into Meteorite #15346,Interplanetary Science,2001-11-20
301,36371,New Insights into Meteorite #43772,Journal of Meteorites,2001-02-25
302,24671,New Insights into Meteorite #37901,Journal of Space Physics,2016-01-31
303,26493,New Insights into Meteorite #9034,Cosmic Research Journal,2003-05-08
304,6589,New Insights into Meteorite #8818,Interplanetary Science,2014-09-26
305,5692,New Insights into Meteorite #32822,International Journal of Astronomy,2002-03-11
306,4380,New Insights into Meteorite #10232,Space and Universe Journal,2009-04-11
307,22261,New Insights into Meteorite #16839,Journal of Cosmic Rays,2003-03-23
308,21905,New Insights into Meteorite #45142,Journal of Solar Research,2021-08-10
309,6334,New Insights into Meteorite #41322,Advances in Space Research,2018-12-08
310,35867,New Insights into Meteorite #16710,Journal of Astronomical Research,2008-01-23
311,37582,New Insights into Meteorite #48336,Interplanetary Science,2020-12-29
312,13307,New Insights into Meteorite #10351,Advances in Planetary Science,2017-05-02
313,4562,New Insights into Meteorite #1394,Space Exploration and Technology,2021-10-16
314,19969,New Insights into Meteorite #29800,Space and Time Journal,2019-06-27
315,14487,New Insights into Meteorite #35970,Journal of Stellar Evolution,2011-05-18
316,29491,New Insights into Meteorite #15308,International Journal of Astronomy,2007-12-12
317,22868,New Insights into Meteorite #39575,Journal of Modern Astronomy,2004-09-20
318,28847,New Insights into Meteorite #32236,Journal of Advanced Astronomy,2010-08-31
319,18350,New Insights into Meteorite #29563,Journal of Cosmic Evolution,2013-02-15
320,29697,New Insights into Meteorite #45408,Journal of Space Engineering,2016-06-25
321,33575,New Insights into Meteorite #18866,Journal of Solar and Stellar Studies,2019-02-11
322,11809,New Insights into Meteorite #25923,Journal of Cosmic Energy,2010-09-06
323,34223,New Insights into Meteorite #26315,Planetary and Space Science,2017-08-31
324,32572,New Insights into Meteorite #7318,Cosmic Exploration Journal,2006-08-30
325,29682,New Insights into Meteorite #30964,Space and Beyond Journal,2012-12-24
326,9208,New Insights into Meteorite #20837,Astrophysical Research Letters,2007-04-14
327,30766,New Insights into Meteorite #22646,Space Science and Technology,2004-06-09
328,10196,New Insights into Meteorite #16117,Journal of Astrophysical Techniques,2010-06-14
329,23631,New Insights into Meteorite #29670,Journal of Extragalactic Research,2025-05-19
330,22080,New Insights into Meteorite #485,Journal of Space Exploration,2002-02-10
331,17755,New Insights into Meteorite #15088,Nature,2007-01-31
332,25415,New Insights into Meteorite #27907,Space and Beyond Journal,2015-05-21
333,19632,New Insights into Meteorite #42310,Journal of Astrophysical Techniques,2004-04-22
334,15974,New Insights into Meteorite #33261,Space Science Reviews,2006-05-10
335,2894,New Insights into Meteorite #29378,Journal of Space Exploration,2010-03-09
336,21259,New Insights into Meteorite #23605,Galactic Science Journal,2000-05-26
337,33119,New Insights into Meteorite #17274,Space Science and Exploration,2007-10-14
338,13941,New Insights into Meteorite #2977,Journal of Modern Astronomy,2004-10-18
339,3160,New Insights into Meteorite #35707,Journal of Advanced Astronomy,2006-01-15
340,29573,New Insights into Meteorite #9290,Interstellar Research Letters,2009-02-20
341,29227,New Insights into Meteorite #10994,Space Science Insights,2021-10-26
342,22910,New Insights into Meteorite #44988,Journal of Cosmic Origins,2021-04-05
343,3408,New Insights into Meteorite #9443,Journal of Celestial Phenomena,2003-10-02
344,18042,New Insights into Meteorite #19136,Journal of Modern Astronomy,2017-02-01
345,22266,New Insights into Meteorite #4248,International Journal of Astrophysics,2018-06-09
346,624,New Insights into Meteorite #44982,Astrophysical Journal Letters,2014-08-03
347,38092,New Insights into Meteorite #29256,Journal of Cosmic Origins,2000-08-01
348,7943,New Insights into Meteorite #15093,Advances in Astronomy,2015-05-03
349,20619,New Insights into Meteorite #39682,Journal of Space Exploration,2011-02-04
350,1511,New Insights into Meteorite #41820,Advances in Planetary Science,2017-09-05
351,11192,New Insights into Meteorite #48744,Astroinformatics Journal,2008-02-03
352,8214,New Insights into Meteorite #29258,Cosmology and Space Science,2000-06-03
353,20429,New Insights into Meteorite #42908,Journal of Cosmological Studies,2014-09-17
354,14441,New Insights into Meteorite #35116,Astroinformatics Journal,2008-04-16
355,34197,New Insights into Meteorite #29835,Journal of Meteorites,2015-04-11
356,21416,New Insights into Meteorite #9954,Astrophysical Journal Letters,2013-12-31
357,28276,New Insights into Meteorite #2516,Interplanetary Science,2019-09-29
358,20024,New Insights into Meteorite #11587,Space Science and Exploration,2005-01-07
359,28306,New Insights into Meteorite #20048,Journal of Astrophysical Techniques,2020-05-24
360,26533,New Insights into Meteorite #41761,Astronomical Research and Reviews,2015-03-25
361,6248,New Insights into Meteorite #35549,Intergalactic Studies,2017-12-06
362,29167,New Insights into Meteorite #40925,Journal of Cosmic Origins,2006-03-26
363,6277,New Insights into Meteorite #7037,Cosmic Exploration Journal,2003-10-31
364,37039,New Insights into Meteorite #44439,Journal of Interplanetary Research,2012-11-14
365,30093,New Insights into Meteorite #25937,Journal of Galactic Research,2008-11-02
366,10503,New Insights into Meteorite #39623,International Journal of Space Science,2020-09-29
367,3520,New Insights into Meteorite #12734,Cosmic Exploration Journal,2009-11-28
368,21265,New Insights into Meteorite #20734,Journal of Space Exploration and Research,2008-07-23
