class_id,class_name
312,H6
313,L6
314,L6
315,L5
316,H5
317,L6
318,H6
319,CR2
320,L5
321,H5
322,H6
323,L/LL6
324,H6
325,H5
326,H5
327,L6
328,H5
329,H5
330,L5
331,LL5
332,LL6
333,L6
334,H5
335,CV3
336,L4/5
337,L6
338,CM2
339,CO3
340,CO3
341,L6
342,H4
343,L3.8
344,L3.8
345,H6
346,H5
347,L5
348,L6
349,H3-5
350,H3
351,LL5
352,LL6
353,L3
354,L5
355,H6
356,H4
357,L6
358,L5
359,Eucrite-cm
360,LL5
361,LL5
362,EL6
363,LL5
364,H6
365,H6
366,H4
367,H5
368,LL4
369,H5
370,L6
371,H5
372,"Pallasite, PMG"
373,"Iron, IIIAB"
374,Eucrite-mmict
375,H5
376,H5
378,L5
379,EH4
380,"Pallasite, PMG"
381,H4/5
382,L5
383,L/LL3.10
384,EL5
385,H5/6
386,LL3
387,H5
388,H4
389,"Iron, IAB complex"
390,LL3-6
392,H5
393,"Iron, IIIAB"
395,Eucrite
397,"Iron, IIIAB"
398,L6
399,H
400,H5
401,L6
402,L6
403,H5
404,H5
405,L6
406,H4
407,L4
408,L3.8
409,H5
410,H4
411,H5
412,L5
413,L5
414,L4
415,L5
416,L6
417,L
419,"Pallasite, PMG"
421,OC
422,"Iron, IIAB"
423,Diogenite-pm
424,L6
426,L6
427,H4
428,H
429,H4
430,H6
431,L6
432,H
433,"Iron, IVA"
434,L4
435,H5
436,L4
437,L5
438,L6
439,L6
440,L5
441,L6
442,H4
443,L6
444,L6
445,L6
446,CR2-an
447,LL5
448,CI1
449,H5
450,L6
452,"Iron, IIIAB"
453,L/LL4
454,L
455,"Pallasite, PMG"
456,L
457,"Iron, IVA"
458,Eucrite-mmict
459,"Iron, IIIAB"
460,H5
461,LL5
462,L6
463,H5
464,"Iron, IAB complex"
465,H4
466,L6
467,"Iron, IAB-ung"
468,"Iron, IIIAB"
469,L6
470,"Iron, IAB-sHL"
471,"Iron, ungrouped"
472,"Iron, IIIE-an"
473,H4
474,H6
475,"Iron, IIAB"
476,CM2
477,CO3.4
478,H5
479,H5
480,L5
481,L6
482,Ureilite
483,L5
484,H5
485,H5
486,H3.6
487,L6
488,H5
489,H6
490,H5
491,H5
492,H6
493,L5
494,L6
495,H5
496,H5
497,L6
498,H5
499,L6
500,H6
501,L6
502,H4
503,H6
504,H4
505,H5
506,Ureilite
507,CM2
508,EH4
509,H4
510,H5
511,CK4
512,H4
513,L5
514,H6
515,L6
516,L6
517,H5
518,L6
519,H6
520,H5
521,L4
522,L5
523,H5
524,L6
525,H5
526,H5
527,LL3.4
528,L3.4-3.7
529,Aubrite
530,LL3.3
531,L5
532,H5
533,H6
534,Ureilite
535,Aubrite
536,CM2
537,L3.5
538,EL6
539,H4
540,H5
541,L6
542,LL6
543,L4
544,H6
545,H5
546,CO3
547,L6
548,H6
549,H5
550,H5
551,H5
552,LL6
553,L6
554,H5
555,H5
556,H5
557,H5
558,L3.8
559,H5
560,H5
561,L6
562,H3.6
563,L6
564,H5
565,L5
566,H5
567,H5
568,L5
569,H5
570,H6
571,H5
572,L6
573,H5
574,LL6
575,H5
576,H5
577,H5
578,L6
579,H5
580,H5
581,H5
582,H5
583,L6
584,H5
585,H5
586,H5
587,L6
588,H5
589,L5
590,LL6
591,H6
592,H5
593,H5
594,H5
595,CM1/2
596,L6
597,CM2
598,H6
599,H5
600,L6
601,CM2
602,H5
603,CO3.5
604,Martian (OPX)
605,L6
606,H5
607,H4
608,L5
609,H4/5
610,Aubrite
611,Aubrite
612,Aubrite
613,Aubrite
614,Aubrite
615,Aubrite
616,Aubrite
617,Aubrite
618,Aubrite
619,Aubrite
620,Aubrite
621,Aubrite
622,Aubrite
623,Aubrite
624,Aubrite
625,Aubrite
626,Aubrite
627,Aubrite
628,Brachinite
629,LL7(?)
630,CV3
631,CM2
632,CM2
633,CM2
634,CM2
635,CM2
636,CM2
637,CM2
638,CM2
639,CV3
640,CK4
641,CM2
642,CM2
643,CM2
644,CM2
645,CM2
646,CM2
647,CM2
648,CM2
649,CM2
650,CM2
651,CM2
652,CM2
653,CM2
654,LL6
655,CM2
656,CM2
657,H5
658,L6
659,L6
660,L6
661,H4
662,H5
663,L6
664,L6
665,L5
666,H5
667,L6
668,L6
669,H5
670,H5
671,H5
672,L6
673,H6
674,L6
675,H5
676,H5
677,H5
678,H5
679,H5
680,H5
681,L6
682,L6
683,LL6
684,H6
685,H6
686,H4
687,H5
688,L3.8
689,L6
690,H5
691,H5
692,L6
693,H5
694,L6
695,H6
696,H5
697,L6
698,LL6(?)
699,L6
700,H5
701,H5
702,H5
703,H6
704,L6
705,H4
706,L6
707,H6
708,L6
709,LL6
710,H6
711,H6
712,H6
713,H5
714,L6
715,H6
716,H6
717,H6
718,LL6
719,H5
720,H6
721,LL6
722,L3.8
723,H5
724,LL6
725,LL6
726,H5
727,LL6
728,LL3.4
729,L6
730,H5
731,L6
732,L6
733,H5
734,L6
735,H5
736,L6
737,H5
738,Ureilite
739,H5
740,H5
741,H5
742,L6
743,L6
744,L6
745,L6
746,H5
747,H5
748,H5
749,H6
750,H5
751,H5
752,H6
753,H6
754,H5
755,H6
756,LL6
757,H5
758,H5
759,H5
760,H5
761,H6
762,L6
763,H5
764,H5
765,H5
766,L6
767,"Iron, IIIAB"
768,L6
769,H5
770,LL6
771,L6
772,EH3
773,H6
774,H5
775,L6
776,L6
777,H5
778,H6
779,L5
780,H5
781,H5
782,H6
783,L6
784,L6
785,H5
786,H5
787,H5
788,H6
789,H6
790,EH3
791,H6
792,Acapulcoite
793,CM2
794,H5
795,L6
796,H5
797,L4
798,H5
799,L6
800,LL6
801,H5
802,EH3
803,H5
804,H5
805,L6
806,H6
807,L3.9
808,EH3
809,L6
810,H6
811,L5
812,L6
813,H6
814,L6
815,H5
816,H6
817,H6
818,H5
819,H5
820,L6
821,L6
822,EH3
823,H5
824,H5
825,H5
826,H6
827,H5
828,H5
829,H5
830,H5
831,L6
832,H4
833,L6
834,H4
835,"Iron, ungrouped"
836,L6
837,EH3
838,H5
839,H5
840,L6
841,H5
842,H5
843,H5
844,H6
845,H6
846,L6
847,H5
848,H5
849,L6
850,H5
851,H5
852,EH3
853,H5
854,H6
855,H5
856,EH3
857,LL6
858,L6
859,H6
860,L5
861,H5
862,H5
863,L6
864,H6
865,H5
866,L6
867,Eucrite-Mg rich
868,CK4
869,CO3.5
870,CM2
871,CM2
872,CV3
873,CM2
874,CM2
875,CM2
876,CM2
877,CM2
878,CM2
879,CM2
880,L6
881,Diogenite
882,L6
883,L6
884,H6
885,LL6
886,H6
887,H5
888,L6
889,H6
890,H5
891,H5
892,L6
893,L6
894,H6
895,L6
896,H6
897,H6
898,H6
899,L4
900,L6
901,LL6
902,H6
903,H6
904,H5
905,L6
906,L6
907,H6
908,H5
909,H5
910,H6
911,L3.8
912,L6
913,L6
914,H5
915,L6
916,L6
917,H5
918,H6
919,L4
920,H5
921,H5
922,H5
923,LL6
924,L4
925,LL6
926,L6
927,L6
928,H3.5-4
929,L6
930,L6
931,L6
932,LL6
933,H5
934,H5
935,H6
936,L3.6
937,H5
938,H6
939,LL6
940,H5
941,L6
942,L6
943,H5
944,L6
945,LL6
946,L6
947,H6
948,L6
949,L6
950,LL6
951,CH3
952,H5
953,L6
954,H5
955,H5
956,L6
957,H5
958,L5
959,L6
960,H6
961,L6
962,L6
963,H5
964,H5
965,H5
966,H5
967,L6
968,H5
969,L6
970,H5
971,L6
972,CM2
973,H5
974,H6
975,H6
976,H5
977,H5
978,L6
979,L6
980,H5
981,L6
982,H6
983,L5
984,EL3
985,H5
986,H3.7
987,H5
988,L5
989,L6
990,H5
991,H5
992,H6
993,H6
994,LL6
995,H6
996,L6
997,L6
998,H5
999,H5
1000,LL6
1001,H6
1002,LL6
1003,LL6
1004,H6
1005,H6
1006,H5
1007,H5
1008,H5
1009,H5
1010,H5
1011,H5
1012,L6
1013,H6
1014,L6
1015,L5
1016,R3.6
1017,LL6
1018,H4
1019,LL6
1020,L3.7
1021,H6
1022,L6
1023,LL6
1024,EH3
1025,L6
1026,H5
1027,L6
1028,H5
1029,L6
1030,L6
1031,H5
1032,H6
1033,L6
1034,L6
1035,L5
1036,H5
1037,H5
1038,L6
1039,H6
1040,L6
1041,L4
1042,L4
1043,L6
1044,LL6
1045,H5
1046,L4
1047,L4
1048,LL4
1049,L6
1050,L4
1051,H5
1052,H4/5
1053,H5
1054,H4/5
1055,H3
1056,L6
1057,H4
1058,H5
1059,L6
1060,H4
1061,H4
1062,H5
1063,H5
1064,H3.5
1065,H5
1066,H5
1067,L6
1068,L6
1069,H5
1070,H5
1071,H5
1072,H5
1073,H5
1074,H5
1075,H5
1076,H5
1077,H5
1078,H6
1079,H5
1080,H3.4
1081,H5
1082,H5
1083,H5
1084,H5
1085,L5
1086,H5
1087,H6
1088,L3.4
1089,CM1
1090,EH3
1091,H5
1092,H6
1093,H5/6
1094,H6
1095,H5
1096,CM2
1097,H4
1098,H5
1099,H5
1100,H5
1101,H5
1102,H6
1103,L/LL3
1104,H6
1105,H5/6
1106,L5
1107,H5/6
1108,H5/6
1109,H5
1110,L/LL3
1111,H6
1112,H6
1113,H5
1114,EH3
1115,H5
1116,H5
1117,L/LL3
1118,H5
1119,H6
1120,H5
1121,H4
1122,H6
1123,H5
1124,H5
1125,H5
1126,H5-6
1127,H4
1128,L6
1129,H5
1130,H5
1131,H4
1132,H5
1133,L6
1134,H4
1135,H5
1136,H5
1137,H5
1138,H5
1139,H5
1141,H6
1142,L/LL3
1143,H5
1144,H5
1145,H5-6
1146,Howardite
1147,H5
1148,H5
1149,L3
1150,H4
1151,H5
1152,H6
1153,L6
1154,H5
1155,H5
1156,H5
1157,H5
1158,H4
1159,H5
1160,H5
1161,H6
1162,H6
1163,H7
1168,H5
1173,L/LL3
1179,Howardite
1192,H5
1193,H5
1199,H5
1203,H4
1243,L6
1244,LL6
1245,H5
1246,H5
1247,L6
1248,L4
1249,H5
1250,CM2
1251,H5
1252,L6
1253,H5
1254,L3.7
1255,H5
1256,H5
1257,H5
1258,L/LL4
1259,L6
1260,H5
1261,H5
1262,H5
1263,H6
1264,L3.4
1265,H6
1266,L6
1267,L6
1268,L6
1269,L4
1270,L6
1271,L6
1272,L6
1273,L6
1274,L6
1275,L6
1276,L6
1277,L6
1278,L6
1279,L6
1280,L6
1281,L6
1282,H5
1283,H5
1284,H5
1285,L6
1286,H6
1287,L6
1288,L6
1289,H5
1290,H5
1291,H6
1292,H6
1293,H6
1294,H6
1295,H5
1296,H6
1297,H6
1298,H5
1299,H5
1300,LL3
1301,CM2
1302,H6
1303,L5
1304,H4
1305,H6
1306,H6
1307,H5
1308,L6
1309,"Iron, IAB-MG"
1310,L6
1311,LL3.3
1312,Eucrite-pmict
1313,H6
1314,L6
1315,H6
1316,L6
1317,L6
1318,L5
1319,CO3.6
1320,H4
1321,Martian (shergottite)
1322,H5
1323,L6
1324,H4
1325,H4
1326,L3.5
1327,H5
1328,L3.6
1329,H5
1330,L3.5
1331,H5
1332,H5
1333,H5
1334,L6
1335,H5
1336,H5
1337,H5
1338,H4
1339,H5
1340,L6
1341,L6
1342,L6
1343,CO3.4
1344,H4/5
1345,L3.5
1346,L3
1347,L3.5
1348,L3.5
1349,L(?)3
1350,L3.5
1351,H5
1352,H5
1353,H5
1354,L3
1355,LL6
1356,H5
1357,L3.5
1358,H4
1359,H5
1360,H6
1361,L3.5
1362,L/LL3
1363,L3.5
1364,L3.6
1365,H5
1366,L3.5
1367,H6
1368,H5
1369,H4/5
1370,H4
1371,H4
1372,H5
1373,H4
1374,LL5
1375,H5
1376,H5
1377,H5
1378,H5
1379,H5
1380,H5
1381,H4
1382,L6
1383,H5
1384,H5
1385,H4
1386,H5
1387,H5
1388,L/LL3
1389,H5
1390,H4
1391,H5
1392,H5
1393,L3
1394,Acapulcoite
1395,H5
1396,H4
1397,H5
1398,H5
1399,H5
1400,H5
1401,H5
1402,L6
1403,H4/5
1404,H5
1405,H5
1406,H4/5
1407,H5
1408,H4
1409,H5
1410,H4/5
1411,H5
1412,H4
1413,H5
1414,H5
1415,H5
1416,H5
1417,H5
1418,H4/5
1419,H5
1420,H5
1421,H5
1423,H6
1424,H5
1425,H5
1426,H5
1427,L3.5
1428,H5
1429,L5
1430,H5
1431,H5
1432,H5
1433,H5
1434,H5
1435,H5
1436,H5
1437,H5
1438,H5
1439,L5
1440,H5
1441,H5
1442,H5
1443,H6
1444,H5
1445,H6
1446,H6
1447,H5
1448,H5
1449,H5
1450,H5
1451,H5
1452,L3.5
1453,H4
1454,H5
1455,H5
1456,H6
1457,H5
1458,H6
1459,H6
1460,H6
1461,H6
1462,L6
1463,H5
1464,H5
1465,H5
1466,H5
1467,L6
1468,EH3
1469,H6
1470,H5
1471,L6
1472,L3.5
1473,H5
1474,L6
1475,L3.5
1476,L3.5
1477,L3.5
1478,L3.5
1479,L3.4
1480,H5
1481,L6
1482,L3.5
1483,H5
1484,H4
1485,H5
1486,H5
1487,L3.5
1488,L3.2
1489,H5
1490,L3.5
1491,H5
1492,L6
1493,H5
1494,H5
1495,H6
1496,H5
1497,L3.5
1498,H5
1499,H5
1500,H5
1501,H4
1502,H4
1503,H4
1504,H5
1505,H5
1506,H5
1507,L6
1508,L3.7
1509,L6
1510,H5
1511,H6
1512,H5
1513,H5
1514,H4
1515,H4
1516,H5
1517,H5
1518,H5
1519,H4
1520,H6
1521,H6
1522,L3.5
1523,H6
1524,H5
1525,L3.4
1526,L3.8
1527,L3.7-3.9
1528,L3
1529,L5
1530,Mesosiderite-B1
1531,H5
1532,H4
1533,H4
1534,H4
1535,H4
1536,H4
1537,H4
1538,H5
1539,H5
1540,H5
1541,L4
1542,L6
1543,H4
1544,H4
1546,H5
1547,H5
1548,H5
1549,H6
1550,H6
1551,H5
1552,L3.5
1553,H5
1554,H5
1555,L3.5
1556,H5
1557,H6
1558,H5
1559,H6
1560,L3.5
1561,"Iron, IAB-MG"
1562,L6
1563,L3-6
1564,H5
1565,L5
1566,"Iron, ungrouped"
1567,Diogenite
1568,Ureilite
1569,H6
1570,H5
1571,L3.5
1572,L6
1573,H4
1574,"Iron, IAB-MG"
1575,H5
1576,H5
1577,H5
1578,L5
1579,H5
1580,L6
1581,L6
1582,H6
1583,L6
1584,L6
1585,H5
1586,H5
1587,L6
1588,LL3.7
1589,H5
1590,L6
1591,L6
1592,L6
1593,"Iron, IAB-MG"
1594,L6
1595,H6
1596,H4
1597,H5
1598,H6
1599,"Iron, IAB-MG"
1600,"Iron, IAB-MG"
1601,H5
1602,L6
1603,L6
1604,H5
1605,EH3
1606,L6
1607,L6
1608,H3.7
1609,H5
1610,L6
1611,Eucrite-pmict
1612,L3.5
1613,LL3.7
1614,L6
1615,CM2
1616,CO3.0
1617,H5
1618,H6
1619,L6
1620,H5
1621,H5
1622,Howardite
1623,H5
1624,H5
1625,H4
1626,H5
1627,L3
1628,H5
1629,L3.5
1630,L3
1631,L3.2
1632,H5
1633,L3.5
1634,H5
1635,Ureilite
1636,H4
1637,H5
1638,H5
1639,H5
1640,H6
1641,H5
1642,H4
1643,H5
1644,H5
1645,H4
1646,H5
1647,H5
1648,H6
1649,H4
1650,H6
1651,H6
1652,H5
1653,L3.5
1654,L3.4
1655,L6
1656,Eucrite-pmict
1657,L3.4
1658,L6
1659,L6
1660,L4
1661,L6
1662,L3
1663,H5
1664,L6
1665,H5
1666,L6
1667,H4
1668,H5
1669,H4
1670,LL5
1671,L6
1672,H
1673,H4
1674,H5
1675,L6
1676,H6
1677,H5
1678,LL6
1679,LL6
1680,L
1681,H6
1682,H5
1683,H6
1684,L6
1685,H6
1686,L4
1687,H6
1688,LL6
1689,L6
1690,H5
1691,H6
1692,H4
1693,L6
1694,H5
1695,H5
1696,H5
1697,LL6
1698,H4
1699,H3.9
1700,H5
1701,H6
1702,H5
1703,H5
1704,H4
1705,H5
1706,H4/5
1707,H5
1708,H5
1709,H5
1710,H5
1711,H5
1712,H
1713,H5
1714,H5
1715,"Iron, IIAB"
1716,L6
1717,H5
1718,L6
1719,L6
1720,L6
1721,L6
1722,H5
1723,H5
1724,LL5
1725,H5
1726,H5
1727,L6
1728,Aubrite
1729,L6
1730,H6
1731,H5
1732,H5
1733,H5
1734,LL3.5
1735,H4
1736,H5
1737,H6
1738,H5
1739,H6
1740,L6
1741,L6
1742,L6
1743,H5
1744,H5
1745,L6
1746,L6
1747,Eucrite-pmict
1748,L3.5
1749,H4
1750,H6
1751,H5
1752,H6
1753,LL3
1754,H5
1755,H4
1756,H5
1757,L5
1758,LL3
1759,H6
1760,H5
1761,H5/6
1762,H5
1763,H4
1764,H5
1765,H5/6
1766,H6
1767,LL6
1768,H5
1769,H6
1770,L6
1771,H4
1772,Eucrite-pmict
1773,H5
1774,H5
1775,L6
1776,L3.4
1777,H5
1778,H5
1779,Eucrite-pmict
1780,H6
1781,H4
1782,H6
1783,L3.2
1784,L6
1785,H4
1786,H5
1787,H5
1788,H5
1789,L3.4
1790,H5
1791,H5
1792,H4
1793,L3.5
1794,H4
1795,H5
1796,H4
1797,H6
1798,L6
1799,L3.5
1800,L6
1801,L3.5
1802,H6
1803,H5
1804,H6
1805,H5
1806,H4
1807,H5
1808,H5
1809,H4
1810,H5
1811,H4
1812,H5
1813,H6
1814,H5
1815,H5
1816,H5
1817,H5
1818,H5
1819,H5
1820,H6
1821,H4
1822,H5
1823,H5
1824,H6
1825,H5
1826,H6
1827,H5
1828,H6
1829,H5
1830,H5
1831,H4
1832,H5
1833,H5
1834,H5
1835,H5
1836,H4
1837,H5
1838,H5
1839,H6
1840,H5
1841,H5
1842,H6
1843,Acapulcoite
1844,H6
1845,H5
1846,H5
1847,H5
1848,L3.4
1849,L3.5
1850,L3
1851,L3.5
1852,L3.4
1853,H4
1854,H5
1855,H4
1856,L3.5
1858,H5
1859,H5
1860,H5
1861,H4
1862,H6
1863,L3
1864,L6
1865,"Iron, IVA"
1866,H5
1867,H4
1868,H5
1869,H4
1870,H5
1871,H4
1872,H5
1873,L6
1874,CM2
1875,Ureilite
1876,L3.5
1877,H6
1878,LL3.4
1879,H5
1880,H6
1881,H5
1882,L6
1883,H5
1884,H5
1885,H5
1886,H5
1887,H5
1888,H5
1889,H5
1890,H5
1891,H6
1892,Eucrite-pmict
1893,L6
1894,H6
1895,H6
1896,H5
1897,L3.7-4
1898,H4
1899,H6
1900,H5
1901,H5
1902,L6
1903,H6
1904,H5
1905,H5
1906,H5
1907,L6
1908,H6
1909,H4
1910,H5
1911,H6
1912,H5
1913,H4
1914,H5
1915,H5
1916,H5
1917,L6
1918,L3.5
1919,H5
1920,H5
1921,H5
1922,H6
1923,H5
1924,H5
1925,L6
1926,H5
1927,H5
1928,H6
1929,L6
1930,Eucrite-pmict
1931,L6
1932,"Iron, ungrouped"
1933,L6
1934,H4
1935,L6
1936,L6
1937,L6
1938,H5
1939,L6
1940,L6
1941,L6
1942,L6
1943,L6
1944,L6
1945,H6
1946,L6
1947,L6
1948,H4
1949,H6
1950,H5
1951,H5
1952,L6
1953,H6
1954,H5
1955,H4
1956,H5
1957,H6
1958,H4
1959,H5
1960,L3.5
1961,Eucrite-unbr
1962,CM2
1963,CV3-an
1964,CM2
1965,Lunar (anorth)
1966,Eucrite-pmict
1967,Eucrite-pmict
1968,Eucrite-pmict
1969,Eucrite-pmict
1970,Eucrite-pmict
1971,Eucrite-pmict
1972,Eucrite-pmict
1973,"Iron, IIAB"
1974,"Iron, ungrouped"
1975,H5
1976,L6
1977,L5
1978,L5
1979,H5
1980,H5
1981,EL6
1982,H4
1983,L5
1984,H3.6
1985,L3.6
1986,L6
1987,L6
1988,L6
1989,L6
1990,L3.4
1991,L3.4
1992,L3.4
1993,H5
1994,H5
1995,H6
1996,H5
1997,H6
1998,H6
1999,H5
2000,L4
2001,H4
2002,H5
2003,H4
2004,H4
2005,H4
2006,H4
2007,H4
2008,H4
2009,H4
2010,H4
2011,H4
2012,H4
2013,L3.5
2014,H6
2015,H6
2016,H4
2017,H4
2018,H4
2019,Mesosiderite-B1
2020,L3.5
2021,L3.5
2022,H5
2023,H5
2024,H5
2025,L3.5
2026,L3.5
2027,H5
2028,H4
2029,L3.5
2030,H5
2031,H5
2032,H5
2033,H4
2034,H4
2035,H5
2036,H6
2037,H5
2038,H6
2039,H6
2040,H5
2041,H5
2042,H5
2043,H5
2044,H5
2045,L3.5
2046,H6
2047,L3.5
2048,H5
2049,H5
2050,H5
2051,H5
2052,H4
2053,H6
2054,H6
2055,H4
2056,H6
2057,H4
2058,Mesosiderite-B1
2059,L6
2060,H5
2061,Ureilite
2062,H6
2063,H6
2064,H4
2065,H4
2066,L6
2067,L6
2068,H5
2069,H4
2070,H5
2071,H6
2072,H6
2073,H5
2074,H4
2075,H5
2076,H5
2077,H4
2078,H5
2079,L4
2080,H5
2081,L3.5
2082,L6
2083,LL6
2084,H5
2085,H5
2086,H5
2087,H6
2088,H5
2089,H5
2090,H5
2091,L6
2092,H5
2093,H5
2094,H6
2095,H5
2096,H5
2097,H6
2098,H5
2099,H5
2100,H4
2101,H5
2102,H4
2103,H5
2104,H5
2105,L3.2
2106,H6
2107,H4
2108,H5
2109,H4
2110,L6
2111,LL5
2112,H5
2113,L5
2114,H6
2115,H5
2116,L3.5
2117,H4
2118,H5
2119,L6
2120,H6
2121,H5
2122,L3.2
2123,H5
2124,H5
2125,H5
2126,H5
2127,L6
2128,H5
2129,H5
2130,H5
2131,H5
2132,L6
2133,H5
2134,H5
2135,H5
2136,H5
2137,H4
2138,H5
2139,H5
2140,H6
2141,L6
2142,H5
2143,H5
2144,L4
2145,LL6
2146,H5
2147,Acapulcoite
2148,H5
2149,EH3
2150,L3
2151,L3
2152,H5
2153,H6
2154,H5
2155,H5
2156,H6
2157,H5
2158,L5
2159,H4
2160,H4
2161,H5
2162,H5
2163,L6
2164,H6
2165,L6
2166,H4
2167,H5
2168,Mesosiderite
2169,H5
2170,H6
2171,H5
2172,H4
2173,H5
2174,L3.5
2175,H5
2176,H5
2177,L6
2178,H5
2179,H5
2180,H5
2181,L6
2182,H6
2183,H6
2184,H6
2185,H5
2186,H5
2187,H5
2188,L3.3
2189,H5
2190,H4
2191,H5
2192,H5
2193,H4
2194,L6
2195,H5
2196,H5
2197,H5
2198,H5
2199,H5
2200,H5
2201,H5
2202,L3.5
2203,H5
2204,H5
2205,H5
2206,L6
2207,H6
2208,H5
2209,H6
2210,LL3.3
2211,H5
2212,H6
2213,H6
2214,H5
2215,H5
2216,L6
2217,CV3
2218,L3.4
2219,EL6
2220,Acapulcoite
2221,L6
2222,H5
2223,H5
2224,L6
2225,H4
2226,H6
2227,H5
2228,H5
2229,H6
2230,L3
2231,H6
2232,H5
2233,H5
2234,H5
2235,H5
2236,L6
2237,H4
2238,L3
2239,H5
2240,L6
2241,H5
2242,H5
2243,LL6
2244,H5
2245,H5
2246,H6
2247,L6
2248,H4
2249,H6
2250,L3
2251,H5
2252,H5
2253,H5
2254,H5
2255,H5
2256,H6
2257,L3
2258,H5
2259,H5
2260,H5
2261,H6
2262,L6
2263,H5
2264,H5
2265,L6
2266,H5
2267,H4
2268,H6
2269,L6
2270,CM2
2271,Eucrite-pmict
2272,H5
2273,Acapulcoite
2274,LL4
2275,H6
2276,H5
2277,H4
2278,CV3
2280,L4
2281,L5
2282,H5
2283,"Iron, IID"
2284,LL5
2286,"Iron, IVA"
2287,"Iron, IVA"
2289,H4-5
2290,H5
2291,L6
2292,Iron
2293,L6
2294,Stone-uncl
2295,L6
2296,L3
2297,L6
2298,H6
2300,"Iron, IIIAB"
2302,Angrite
2304,H4
2305,H5
2306,"Iron, IAB-sLL"
2307,"Iron, IAB-sLM"
2308,L6
2309,Iron
2310,H5
2311,H4
2312,"Iron, IIAB"
2313,L6
2314,Eucrite-mmict
2315,L6
2317,"Iron, IIIAB"
2318,LL6
2319,"Iron, IIIAB"
2320,L6
2323,L5
2324,L/LL5
2325,H5
2326,LL6
2327,CV3
2328,L5
2329,H6
2330,LL3.7
2331,"Pallasite, PMG-an"
2332,"Iron, IC"
